Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000010	Peptidase M13 N-terminal domain-containing protein (11)	Membrane metallo-endopeptidase-like 1 (7)	Peptidase M13 C-terminal domain-containing protein (5)	Endothelin-converting enzyme 1-like protein (2)	Peptidase family M13-like protein (2)	Endothelin-converting enzyme 2-like protein (2)	Endothelin-converting enzyme 1 (1)	Membrane metallo-endopeptidase 1-like (1)	Neprilysin-11 (1)	Neprilysin-1 (1)
OG0000011	Cytochrome P450 (144)	Cytochrome P450, putative  (14)	Cytochrome P450-like protein (9)	Cytochrome P450 3A11 (3)	Thromboxane-A synthase (3)	Cytochrome P450, putative (Cytochrome P450, putative (Fragment)) (3)	Cytochrome P450 3A4 (2)	Cytochrome P450 monooxygenase-like protein (2)	linoleate 8R-lipoxygenase  (1)	Sodium/calcium exchanger membrane region domain-containing protein (1)
OG0000012	Cytochrome P450 (63)	Cytochrome P450, putative  (13)	Cytochrome P-450 IIC5, putative  (2)	Cytochrome P-450 IIC4, putative  (2)	Cytochrome P450 18a1-like protein (2)	Cytochrome P450 2J2-like protein (2)	Cytochrome P450 2J6-like protein (1)	unspecific monooxygenase  (1)	CYP392A12 cytochrome P450 2J6-like protein (1)	Cytochrome P450 1A1 (1)
OG0000013	Ig-like domain-containing protein (9)	Nephrin (2)	Nephrin-like (1)	Hemicentin-1-like protein (1)	Sidestep protein, putative (Sidestep protein, putative (Fragment)) (1)	Hemicentin-2-like protein (1)	Lachesin-like protein (1)			
OG0000014	DUF19 domain-containing protein (2)	Secreted protein (2)	Group XIIA secretory phospholipase A2-like protein (1)	Secreted salivary gland peptide-like protein (1)						
OG0000015	4-coumarate--CoA ligase 1-like protein (3)	AMP dependent CoA ligase, putative  (2)	Acyl-CoA synthetase, putative  (1)	Acyl-CoA synthetase-like protein (1)	AMP-dependent synthetase/ligase domain-containing protein (1)	4-coumarate--CoA ligase 1 (Amp dependent coa ligase-like protein) (1)				
OG0000016	RING-type domain-containing protein (3)	TRAF-type domain-containing protein (1)	TNF receptor-associated factor, putative (TNF receptor-associated factor, putative (Fragment)) (1)							
OG0000017	Serpin domain-containing protein (331)	Serpin B9-like protein (145)	Serpin-2, putative  (124)	Serine proteinase inhibitor serpin-3, putative  (101)	Der f 27 allergen (Serpin) (24)	Secreted salivary gland peptide, putative  (14)	Serpin, putative  (13)	Serpin-4, putative  (8)	Leukocyte elastase inhibitor-like protein (8)	Group 27 mite allergen-like protein (Serpin-like) (6)
OG0000018	Cuticle protein, putative (433)	Cuticle protein (176)	Structural constituent of cuticle-like protein (73)	Serine/threonine-protein phosphatase 2A regulatory subunit pppA-like protein (19)	Cuticle protein 16.8 (18)	Cuticle protein-like protein (18)	OCRE domain-containing protein (17)			
OG0000019	ABC transporter domain-containing protein (328)	ABC transporter, putative  (228)	ABC transporter ABCA1-like protein (78)	ABCA5 transporter, putative  (66)	ATP-binding cassette sub-family A member 1-like (27)	ATP-binding cassette sub-family A member 3 (7)	ATP-binding cassette sub-family A member 1-like protein (6)	Lipid exporter ABCA1, putative  (4)	AAA+ ATPase domain-containing protein (1)	
OG0000020	DDE Tnp4 domain-containing protein (3)	Transposase Helix-turn-helix domain-containing protein (1)								
OG0000021	RNA-directed DNA polymerase  (2)									
OG0000022	None									
OG0000023	Cytochrome P450, putative  (270)	Cytochrome P450 (224)	P450 CYP319A1, putative (Fragment) (Fragment) (p450 CYP319A1, putative  (39)	Cytochrome P-450 IIC5, putative  (29)	Cytochrome P450 4V2-like (27)	Cytochrome P450-like protein (21)	Cytochrome P-450, putative  (18)	Cytochrome P450 4V2 (11)	Cytochrome P450 4c3-like (11)	Cytochrome P450 4V2-like isoform X4 (8)
OG0000024	Reverse transcriptase domain-containing protein (3)	RNA-directed DNA polymerase from mobile element jockey-like protein (2)	RNA-directed DNA polymerase from mobile element jockey-like (1)	Reverse transcriptase, putative (Reverse transcriptase, putative (Fragment)) (1)						
OG0000025	Organic cation transporter protein-like protein (432)	Organic cation transporter protein-like (135)	Solute carrier family 22 member 6-B-like (94)	Major facilitator superfamily (MFS) profile domain-containing protein (13)	Solute carrier family 22 member 8-like protein (7)	Organic cation transporter-like protein (1)				
OG0000026	Neurotransmitter-gated ion-channel-like protein (136)	Gamma-aminobutyric acid receptor subunit beta-like (95)	Glycine receptor alpha 1 variant, putative (Glycine receptor alpha 1 variant, putative (Fragment)) (81)	Glutamate-gated chloride channel, putative (Glutamate-gated chloride channel, putative (Fragment)) (50)	Gamma-aminobutyric acid receptor, putative (Gamma-aminobutyric acid receptor, putative (Fragment)) (47)	Neurotransmitter-gated ion-channel transmembrane domain-containing protein (44)	Gamma-aminobutyric acid receptor alpha-like (26)	Glycine receptor subunit alpha-2-like (25)	Gaba-gated chloride channel, putative (24)	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein (22)
OG0000027	Arylsulfatase B, putative  (591)	Sulfatase N-terminal domain-containing protein (76)								
OG0000028	Transporter (562)	Sodium-and chloride-dependent GABA transporter 1-like (36)	Sodium:neurotransmitter symporter-like protein 2 (31)	Sodium-and chloride-dependent GABA transporter 1-like protein (27)	Sodium-dependent nutrient amino acid transporter 1-like protein (4)	Glycine transporter-like protein (2)				
OG0000029	Monocarboxylate transporter, putative (306)	Monocarboxylate transporter, putative (Monocarboxylate transporter, putative (Fragment)) (290)	Monocarboxylate transporter 12-like protein (54)	Major facilitator superfamily (MFS) profile domain-containing protein (4)	Monocarboxylate transporter-like protein (1)					
OG0000030	Excitatory amino acid transporter, putative (129)	Glutamate receptor, putative (Glutamate receptor, putative (Fragment)) (88)	Glutamate receptor (72)	Ionotropic glutamate receptor, putative (Ionotropic glutamate receptor, putative (Fragment)) (72)	Ionotropic glutamate receptor C-terminal domain-containing protein (59)	EAA5, putative (EAA5, putative (Fragment)) (54)	Glutamate receptor: ionotropic kainate 2-like protein 2 (52)	Receptor ligand binding region domain-containing protein (22)	Glutamate receptor 1 (17)	Glutamate receptor 1-like (17)
OG0000031	Nose resistant-to-fluoxetine protein N-terminal domain-containing protein (340)	Nose resistant to fluoxetine protein 6-like isoform X1 (221)	Nose resistant to fluoxetine protein 6-like (71)	Acyltransferase 3 domain-containing protein (4)	Acyltransferase-like protein (2)					
OG0000032	Aryl-alcohol oxidase, putative  (293)	Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein (238)	Glucose dehydrogenase-like protein (37)	Glucose-methanol-choline (GMC) oxidoreductase, putative (Glucose-methanol-choline (GMC) oxidoreductase, putative (Fragment)) (15)	Glucose dehydrogenase-like [FAD: quinone] (15)	GMC oxidoreductase-like protein 1 (14)	Glucose-methanol-choline oxidoreductase C-terminal domain-containing protein (13)	Glucose dehydrogenase (Acceptor)-like protein 3 (5)	Glucose dehydrogenase-like (1)	
OG0000033	RNA-directed DNA polymerase from mobile element jockey-like (1)									
OG0000034	Acid methyltransferase, putative (538)	Methyltransferase domain-containing protein (65)								
OG0000035	Transposable element P transposase/THAP9 conserved domain-containing protein (1)									
OG0000036	Nose resistant to fluoxetine protein 6-like (339)	Nose resistant-to-fluoxetine protein N-terminal domain-containing protein (247)								
OG0000037	THAP-type domain-containing protein (581)									
OG0000038	DDE Tnp4 domain-containing protein (1)									
OG0000039	Tissue factor pathway inhibitor 2-like isoform X4 (425)	BPTI/Kunitz inhibitor domain-containing protein (46)	Papilin (32)	Papilin-like protein (27)	Collagen alpha-3(VI) chain-like protein (21)	Boophilin-H2-like protein (18)	Serine protease inhibitor, putative (Serine protease inhibitor, putative (Fragment)) (3)			
OG0000040	Peptidase M12B domain-containing protein (449)	Metalloprotease, putative  (98)	Metalloprotease, putative (8)	A disintegrin and metalloproteinase with thrombospondin motifs 16 (7)	Salivary metalloprotease, putative  (4)	A disintegrin and metalloproteinase with thrombospondin motifs 1-like protein (2)	Salivary gland metalloprotease, putative  (1)			
OG0000041	Fatty acid synthase, putative  (255)	Fatty acid synthase-like protein (129)	Enoyl reductase (ER) domain-containing protein (59)	Ketosynthase family 3 (KS3) domain-containing protein (57)	oleoyl-[acyl-carrier-protein] hydrolase  (25)	Fatty acid synthase-like (13)	Fatty acid synthase-like protein 2 (7)	Ketoreductase (KR) domain-containing protein (5)	Beta-ketoacyl synthase N-terminal domain-containing protein (2)	Fatty acid synthase (1)
OG0000042	Phosphatidylinositol transfer protein SEC14, putative  (458)	Alpha-tocopherol transfer protein-like (54)	CRAL-TRIO domain-containing protein (24)	Alpha-tocopherol transfer protein-like protein (3)						
OG0000043	Lipase (356)	Triacylglycerol lipase (83)	Partial AB-hydrolase lipase domain-containing protein (56)	Alpha/beta-hydrolase lipase region (15)	Gastric triacylglycerol lipase (12)	Gastric triacylglycerol lipase-like protein 2 (8)	Lipase 3-like protein (3)	Lysosomal acid lipase/cholesteryl ester hydrolase-like isoform X2 (1)		
OG0000044	Short-chain dehydrogenase-like protein (198)	3-oxoacyl-[acyl-carrier-protein] reductase FabG-like (197)	SDR family oxidoreductase (52)	Peroxisomal 2,4-dienoyl-CoA reductase (30)	3-oxoacyl-[acyl-carrier-protein] reductase FabG-like protein (25)	Dehydrogenase/reductase-like protein (8)	Short-chain dehydrogenease/reductase-like protein (5)	L-xylulose reductase-like protein (2)	Reductase, putative (1)	
OG0000045	Homeobox domain-containing protein (420)	Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein CHX10) (30)	Homeobox domain, putative  (12)	Paired box protein Pax-3-like protein (10)	Short stature homeobox protein 2 (10)	Restna and anterior neural fold homeobox protein, putative  (9)	Retinal homeobox protein Rx1-like protein (7)	Retinal homeobox protein, putative  (7)	Visual system homeobox 2 (4)	Homeobox protein aristaless-like protein (3)
OG0000046	Protein kinase C  (95)	protein kinase C  (67)	cAMP-dependent protein kinase catalytic subunit-like isoform X4 (63)	Protein kinase C-alpha, putative  (62)	cAMP-dependent protein kinase catalytic subunit, putative  (49)	Serine/threonine protein kinase, putative  (45)	cAMP-dependent protein kinase catalytic subunit alpha isoform 3 (37)	RAC serine/threonine-protein kinase-like protein (23)	REM-1 domain-containing protein (18)	Non-specific serine/threonine protein kinase (16)
OG0000047	Cytochrome P450, putative  (320)	Cytochrome P450 (74)	Cytochrome P450, putative (51)	Thromboxane-A synthase-like (21)	Cytochrome P450-like protein (18)	Cytochrome P450 3A8-like protein (12)	Cytochrome P450 3A24-like protein (2)	Cytochrome p450-like protein 1 (Thromboxane-A synthase) (2)	Cytochrome P450, putative (Cytochrome P450, putative (Fragment)) (1)	Thromboxane-A synthase (1)
OG0000048	Peroxidase (228)	Peroxinectin, putative  (182)	Chorion peroxidase (34)	Peroxidase-like (15)	Chorion peroxidase-like (13)	Peroxinectin (11)	Heme peroxidase-like protein (11)	Peroxidase-like protein (6)	Peroxidasin-like (1)	
OG0000049	Retinol dehydrogenase 11 (146)	Retinol dehydrogenase 11-like (103)	Short-chain dehydrogenase, putative  (98)	Short-chain dehydrogenase-like protein (71)	Retinol dehydrogenase 13-like (69)	Short-chain dehydrogenase (7)	Retinol dehydrogenase 14-like (3)			
OG0000050	Major facilitator superfamily (MFS) profile domain-containing protein (226)	Sialin, putative (80)	Sialin-like protein (55)	Putative sialin-like protein (40)	Sodium/phosphate cotransporter, putative (Sodium/phosphate cotransporter, putative (Fragment)) (34)	Sialin-like (32)	Major Facilitator-like protein (21)	Vesicular glutamate transporter 1-like protein (5)		
OG0000051	Chitinase, putative  (163)	Cht6p (89)	Chitinase (83)	Putative chitinase 3-like protein (33)	Sar s 18 allergen (Chitinase-like protein) (22)	Putative chitinase 3-like (20)	GH18 domain-containing protein (20)	Cht9p, variant 2 (20)	Cht9p (12)	Acidic mammalian chitinase-like (9)
OG0000052	None									
OG0000053	Hexosyltransferase  (444)	Hexosyltransferase (22)	Transcription factor TFIIIC triple barrel domain-containing protein (1)							
OG0000054	DUF4218 domain-containing protein (1)									
OG0000055	Putative serine carboxypeptidase CPVL-like protein (238)	Carboxypeptidase  (221)	Venom serine carboxypeptidase-like protein (3)	Integrin alpha-2 domain-containing protein (1)						
OG0000056	Tc1-like transposase DDE domain-containing protein (458)	Transposase IS30-like HTH domain-containing protein (4)								
OG0000057	None									
OG0000058	Secreted protein, putative (Secreted protein, putative (Fragment)) (180)	TIL domain-containing protein (120)	Secreted cysteine rich protein, putative (Secreted cysteine rich protein, putative (Fragment)) (49)	Secreted cysteine rich protein, putative (43)	von Willebrand factor, putative (30)	Papilin-like protein (29)	Scavenger receptor cysteine-rich protein-like protein (5)	Chymotrypsin inhibitor-like protein (1)		
OG0000059	Ig-like domain-containing protein (232)	Beat protein-like protein (199)	Chromatin assembly factor I P60 subunit-like protein (21)	Beat protein-like (4)						
OG0000060	Slit1 protein-like (443)	Leucine rich repeat containing protein (8)								
OG0000061	None									
OG0000062	Sodium-coupled monocarboxylate transporter 1 (306)	Sodium-coupled monocarboxylate transporter 1-like (41)	Sodium/solute symporter (37)	Small ribosomal subunit protein eS25 (40S ribosomal protein S25) (32)	Sodium-coupled monocarboxylate transporter 1-like protein (11)	Sodium-coupled monocarboxylate transporter 2-like protein (10)	Sodium-dependent multivitamin transporter-like protein (3)	Sodium-coupled monocarboxylate transporter 2-like (1)		
OG0000063	Kinesin-like protein (227)	Kinesin motor domain-containing protein (113)	Kinesin eg-5, putative (38)	Kinesin protein KIFC1-like (27)	Kinesin, putative (20)	Kinesin protein KIF3A-like (7)	Kinesin-like protein 4 (3)	Kinesin- protein 11 (1)	Kinesin-like boursin (1)	Kinesin protein KIF3C-like (1)
OG0000064	Fork-head domain-containing protein (277)	Forkhead domain-containing protein, putative (61)	Fork-head domain-type transcription factor, putative (Fork-head domain-type transcription factor, putative (Fragment)) (20)	Transcription factor, putative (15)	Transcription factor, putative (Transcription factor, putative (Fragment)) (13)	Forkhead box protein K2-like (12)	Fork head domain protein, putative (8)	Silk gland factor 1-like (7)	Forkhead box protein G1 (7)	Forkhead box protein K2, variant 2 (5)
OG0000065	None									
OG0000066	None									
OG0000067	Cadherin domain-containing protein (190)	Protocadherin fat, putative  (99)	Protocadherin alpha 6-like isoform 2 variant (47)	Protocadherin-16, putative  (29)	Fat cadherin-related tumor suppressor-like (14)	Cadherin, putative  (13)	Fat-like cadherin-related tumor suppressor (11)	Fat-like cadherin-related tumor suppressor -like protein (7)	Protocadherin Fat 4 (5)	Cadherin-related tumor suppressor-like (4)
OG0000068	Ionotropic glutamate receptor C-terminal domain-containing protein (238)	Ligand-gated ionic channel-like (109)	Glutamate receptor (44)	Glutamate receptor-like (30)						
OG0000069	Heat shock protein, putative  (170)	Heat shock protein, putative (Heat shock protein, putative (Fragment)) (61)	Group 28 mite allergen-like protein (Heat shock protein 70) (38)	Hsp70, putative  (33)	Heat shock protein 70 (32)	HSP70, putative  (32)	Heat shock protein 70-like protein (10)	Stress-70 protein, mitochondrial (8)	Endoplasmic reticulum chaperone BiP (6)	Heat shock 70 kDa protein (Sar s 28 (Heat shock protein 70-like protein 2)) (6)
OG0000070	glutathione transferase  (293)	Glutathione S-transferase, putative  (94)	GST C-terminal domain-containing protein (18)	Glutathione S-transferase Mu 4 (6)	GST N-terminal domain-containing protein (2)					
OG0000071	Histone-lysine N-methyltransferase SETMAR (409)	Mos1 transposase HTH domain-containing protein (3)								
OG0000072	None									
OG0000073	Dehydrogenase, putative  (175)	Short-chain dehydrogenase/reductase (117)	D-beta-hydroxybutyrate dehydrogenase (102)	17-beta-hydroxysteroid dehydrogenase type 6-like (13)						
OG0000074	Myosin motor domain-containing protein (70)	Myosin IA, putative (Myosin IA, putative (Fragment)) (60)	Myosin heavy chain 95F-like (48)	Myosin, putative (39)	Myosin VII, putative (Myosin VII, putative (Fragment)) (35)	Unconventional myosin-Va (24)	Myosin IB, putative (22)	Myosin IA, putative (19)	Myosin-IX, putative  (19)	Myosin-IB-like (12)
OG0000075	G-protein coupled receptors family 1 profile domain-containing protein (143)	G-protein coupled receptor, putative  (94)	Serotonin receptor, putative  (70)	Dopamine D1/beta receptor, putative  (28)	G-protein coupled octopamine receptor, putative  (23)	Tyramine/octopamine receptor-like (15)	Receptor (10)	Dopamine receptor 1-like protein (7)	G-protein coupled receptor-like protein (4)	Histamine H1 receptor (3)
OG0000076	None									
OG0000077	ABC transporter, putative  (175)	ABC transporter domain-containing protein (121)	ABC transporter sub-family G-like protein 1 (41)	ABC transporter sub-family G-like protein (14)	ABC transporter family G domain-containing protein (10)	ABC transporter-like protein 12 (10)	ABC-2 type transporter transmembrane domain-containing protein (9)	ABC protein, sub ABCG (6)	Protein white-like protein (5)	Protein white-like isoform X2 (3)
OG0000078	Glutathione S-transferase 1: isoform D-like protein (332)	Glutathione S-transferase (48)	Cytochrome P450 (17)							
OG0000079	Pogo transposable element with KRAB domain-like protein (394)									
OG0000080	Beta-ketoacyl-ACP reductase, putative  (216)	Estradiol 17-beta-dehydrogenase 8-like (86)	Short chain alcohol dehydrogenase, putative  (56)	Short-chain alcohol dehydrogenase, putative  (35)						
OG0000081	Polypeptide N-acetylgalactosaminyltransferase  (326)	UDP-GalNAc:polypeptide N-acetylgalactosaminyl transferase, putative  (38)	N-acetylgalactosaminyl transferase, putative  (13)	Glycosyltransferase 2-like domain-containing protein (9)	Ricin B lectin domain-containing protein (2)	Polypeptide N-acetylgalactosaminyltransferase (1)	Putative polypeptide N-acetylgalactosaminyltransferase 8-like isoform X3 (1)			
OG0000082	Endonuclease/exonuclease/phosphatase domain-containing protein (389)									
OG0000083	Guanylate cyclase  (286)	guanylate cyclase  (50)	Atrial natriuretic peptide clearance receptor, putative  (26)	Guanylate cyclase domain-containing protein (8)	Soluble guanylyl cyclase-like protein (7)	Guanylate cyclase 32E-like protein (5)	Retinal guanylyl cyclase 1-like protein (3)	Atrial natriuretic peptide receptor 1-like protein (2)	Atrial natriuretic peptide receptor 1 (1)	
OG0000084	Caspase family p20 domain-containing protein (159)	Sodium-dependent glucose transporter 1C-like (82)	Major facilitator superfamily (MFS) profile domain-containing protein (75)	Sodium-dependent glucose transporter 1-like protein (55)	Sodium-dependent glucose transporter-like protein (10)					
OG0000085	Secreted protein, putative (Secreted protein, putative (Fragment)) (169)	Cell adhesion molecule, putative (78)	Down syndrome cell adhesion molecule-like protein Dscam2 (57)	Titin (33)	Ig-like domain-containing protein (16)	Hemicentin-2-like (10)	Hemicentin-1-like protein (5)	Down syndrome cell adhesion molecule-like protein 1-like protein (5)	Cell adhesion molecule-like protein (5)	Titin-like protein (2)
OG0000086	Neuronal acetylcholine receptor subunit alpha-7-like (73)	Neurotransmitter-gated ion-channel ligand-binding domain-containing protein (45)	Acetylcholine receptor subunit alpha, putative (36)	Neuronal acetylcholine receptor subunit alpha-10 (34)	Ligand-gated ionic channel, putative (31)	Beta-1 subunit of nicotinic acetylcholine receptor, putative (27)	Acetylcholine receptor subunit alpha 1-like (22)	Beta-1 subunit of nicotinic acetylcholine receptor, putative (Beta-1 subunit of nicotinic acetylcholine receptor, putative (Fragment)) (21)	Neuronal acetylcholine receptor subunit alpha-7-like protein (14)	Acetylcholine-activated cation-selective channel (13)
OG0000087	Solute carrier organic anion transporter family member (264)	Kazal-like domain-containing protein (76)	Solute carrier organic anion transporter, putative (Solute carrier organic anion transporter, putative (Fragment)) (29)	Fatty acid desaturase domain-containing protein (3)	Solute carrier organic anion transporter family member 5A1-like protein (3)					
OG0000088	None									
OG0000089	Sulfatase N-terminal domain-containing protein (371)									
OG0000090	None									
OG0000091	EGF-like domain-containing protein (217)	Vitellogenin receptor, putative  (43)	Low density lipid receptor-related protein, putative  (22)	Low-density lipoprotein receptor-related protein 2-like protein (13)	Low-density lipoprotein receptor-related protein 1-like protein (10)	Lipophorin receptor, putative  (8)	Low density lipid receptor-related protein-like protein (7)	Low-density lipoprotein receptor-related protein 2-like (7)	Low-density lipoprotein receptor- protein 1B (5)	PH domain-containing protein (5)
OG0000092	Der-p2-like allergen (107)	MD-2-related lipid-recognition domain-containing protein (97)	Protein NPC2-like protein (92)	Major epididymal secretory protein HE1, putative (Major epididymal secretory protein HE1, putative (Fragment)) (51)	Group 22 mite allergen-like protein (Lipid binding protein) (8)	Group 2/22 mite allergen-like protein (Lipid binding protein) (5)				
OG0000093	Pyruvate phosphate dikinase AMP/ATP-binding domain-containing protein (145)	Putative phosphoenolpyruvate synthase-like (142)	Phosphoenolpyruvate synthase-like (25)	Phosphoenolpyruvate synthase (18)	Very-long-chain 3-oxoacyl-CoA synthase (12)	Peptidase S1 domain-containing protein (9)	Putative phosphoenolpyruvate synthase-like protein (4)	PEP-utilising enzyme mobile domain-containing protein (1)		
OG0000094	Tyrosine-protein kinase  (278)	Insulin peptide receptor (45)	F-actin binding domain-containing protein (13)	SH2 domain-containing protein (5)	Protein kinase domain-containing protein (5)	non-specific protein-tyrosine kinase  (3)	receptor protein-tyrosine kinase  (3)	Tyrosine-protein kinase receptor  (2)	Tyrosine-protein kinase Src42A-like protein (1)	
OG0000095	Cuticle protein 16.8-like (205)	Cuticle protein 10.9-like (77)	Glutamate receptor (40)	Cuticular protein-like (18)	Cuticular protein-like protein (13)					
OG0000096	Transcription factor, putative (208)	BHLH domain-containing protein (46)	Neurogenic differentiation factor 1-like (34)	Neurogenin-1-like protein (33)	Neurogenic differentiation factor, putative (18)	Neurogenin-2, putative (10)	Protein lin-32-like (4)			
OG0000097	Fucosyltransferase  (344)	Fucosyltransferase N-terminal domain-containing protein (6)	Glycoprotein 3-alpha-L-fucosyltransferase A-like protein (1)							
OG0000098	None									
OG0000099	Innexin (343)									
OG0000100	dolichyl-phosphate-mannose--protein mannosyltransferase  (307)	O-linked N-acetylglucosamine transferase, OGT, putative (26)	Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY  (6)	Transmembrane and TPR repeat-containing protein 3 (3)	Transmembrane and TPR repeat-containing protein 1-like (1)					
OG0000101	Epithelial chloride channel protein-like protein (152)	Calcium activated chlorine channel, putative (Calcium activated chlorine channel, putative (Fragment)) (138)	Calcium-activated chloride channel N-terminal domain-containing protein (52)							
OG0000102	Cathepsin L (111)	Cathepsin L-like protein (97)	Cathepsin L, putative (68)	Cathepsin-like protease, putative  (18)	Group 1 mite allergen-like protein (Cysteine protease) (16)	Peptidase C1A papain C-terminal domain-containing protein (12)	Cathepsin L isoform 4 (10)	Cathepsin L (Cathepsin L-like protein 3) (9)	Cathepsin propeptide inhibitor domain-containing protein (1)	
OG0000103	Retinal dehydrogenase 1-like (195)	formyltetrahydrofolate dehydrogenase  (88)	Aldehyde dehydrogenase X (30)	Aldehyde dehydrogenase domain-containing protein (13)	10-formyltetrahydrofolate dehydrogenase  (9)					
OG0000104	RNA-directed DNA polymerase  (330)	Pol polyprotein-like protein (5)								
OG0000105	CCHC-type domain-containing protein (334)									
OG0000106	RNA helicase  (183)	ATP-dependent RNA helicase, putative  (60)	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (40)	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (29)	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (Pre-mrna-splicing factor atp-dependent rna helicase prp16-like) (7)	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16-like (4)	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16-like protein (3)	Putative ATP-dependent RNA helicase spindle-E-like (2)	Helicase ATP-binding domain-containing protein (1)	RNA helicase (1)
OG0000107	Fatty acyl-CoA reductase  (330)									
OG0000108	Cdc42 protein, putative  (101)	Ras-like GTP-binding protein Rho1 (83)	Cell division control protein 42 homolog  (63)	Ras-related protein Rac1 (32)	GTPase Rho, putative  (14)	Ras-like gtp-binding protein rho1 (6)	Rho-related GTP-binding protein RhoU (6)	Ras- C3 botulinum toxin substrate 2 (Ras-related protein rac1-like protein) (6)	Ras-related C3 botulinum toxin substrate 1-like protein (5)	Ras-related C3 botulinum toxin substrate 1 (5)
OG0000109	None									
OG0000110	Kelch-like protein diablo (198)	BACK domain-containing protein (129)								
OG0000111	Fibroleukin-like (314)	Fibrinogen C-terminal domain-containing protein (11)								
OG0000112	HMG box domain-containing protein (116)	Sox14, putative  (68)	HMG-box transcription factor, putative  (49)	Sox13, putative  (47)	Sox developmental protein N-terminal domain-containing protein (19)	Sox1, putative  (10)	Transcription factor SOX-6 (7)	Transcription factor SOX-7 (6)	SOX transcription factor-like protein (1)	SOX transcription factor, putative  (1)
OG0000113	Lipase, putative  (164)	Inactive pancreatic lipase-related protein 1 (41)	Pancreatic lipase-related protein 1-like protein (38)	Lipase-like protein (28)	Lipase domain-containing protein (26)	Alpha/beta hydrolase, putative  (9)	Pancreatic lipase-related protein 2-like protein (6)	Pancreatic triacylglycerol lipase-like protein (5)	Pancreatic lipase- protein 2 (4)	Pancreatic triacylglycerol lipase (1)
