cluster	model	profile_type	orthogroup	signif_level	signif_fdr	coefficient	pval	species	locus_tag	Length	egg_Description	KO	KO_definition	deepsig_feature	deepsig_start	deepsig_end
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-159274-1.1	432	heme binding	K01832;K07424;K14999;K17689;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	432
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-17115-1.1	139	NA	K01832;K07424;K14999;K17689;K17691	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 3 subfamily A7 [EC:1.14.14.1]	Chain	1	139
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-18376-1.3	443	heme binding	K01832;K07424;K14999;K15003;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	443
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-18376-1.4	288	cytochrome P450	K01832;K07424;K14999;K15001;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 4 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	288
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187904-1.3	381	heme binding	K01832;K14999;K07424;K17689;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	381
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187911-1.1	135	NA	K01832;K07424;K14999;K07427;K15001	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 4 [EC:1.14.-.-]	Chain	1	135
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-199943-1.1	233	heme binding. It is involved in the biological process described with oxidation-reduction process	K01832;K07424;K14999;K07427;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	233
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-199943-1.2	517	heme binding	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	517
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-203899-1.1	298	cytochrome P450	K01832;K07424;K14999;K17861;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 13;cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	298
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-203905-1.1	513	Cytochrome p450	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	513
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-204625-1.2	192	NA	K01832;K07424;K14999;K17861;K07413	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 13;cytochrome P450 family 2 subfamily C [EC:1.14.14.1]	Chain	1	192
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-204625-1.4	449	Belongs to the cytochrome P450 family	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	449
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-23080-1.1	361	Thromboxane A synthase 1 (platelet)	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Chain	1	361
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-26747-1.1	131	cytochrome P450	K01832;K07424;K15001;K14999;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 4 [EC:1.14.-.-];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	131
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-26747-1.2	523	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Chain	1	523
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.1	156	heme binding	K01832;K07424;K14999;K15003;K17861	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 13	Chain	1	156
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.2	556	testosterone 6-beta-hydroxylase activity	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	556
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.3	169	cytochrome P450, family 3, subfamily A, polypeptide 5	K01832;K07424;K14999;K07427;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	169
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-85601-1.2	520	cytochrome P450, family 3, subfamily A, polypeptide 5	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Signal peptide	1	17
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319099062930194	0.00260436197128826	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-8750-1.1	484	cytochrome P450	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	484
cluster_27	speciation	speciation	OG0000907	Yes	No	0.454042685530138	0.0163137284905601	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-189150-1.2	253	neuron apoptotic process	K08742;K04506;K22256;K03174;K24148	E3 ubiquitin-protein ligase SIAH2 [EC:2.3.2.27];E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27];seven in absentia homolog 3;TNF receptor-associated factor 3;RING finger protein 151	Chain	1	253
cluster_27	speciation	speciation	OG0000907	Yes	No	0.454042685530138	0.0163137284905601	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-26140-1.1	177	neuron apoptotic process	K08742;K22256;K04506;K19551	E3 ubiquitin-protein ligase SIAH2 [EC:2.3.2.27];seven in absentia homolog 3;E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27];pectate lyase C [EC:4.2.2.2 4.2.2.10]	Signal peptide	1	19
cluster_27	speciation	speciation	OG0000907	Yes	No	0.454042685530138	0.0163137284905601	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-9582-1.7	310	E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin- conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates	K08742;K04506;K22256;K24148;K11981	E3 ubiquitin-protein ligase SIAH2 [EC:2.3.2.27];E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27];seven in absentia homolog 3;RING finger protein 151;E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]	Chain	1	310
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-114591-1.7	269	FMN-dependent dehydrogenase	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	269
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-121632-1.2	783	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	783
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-150964-1.1	363	Hydroxyacid oxidase	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	363
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-15710-1.1	136	Conserved region in glutamate synthase	K11517;K00467;K16422;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	136
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-179721-1.1	108	Hydroxyacid oxidase 2	K11517;K16422;K00467;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	108
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187775-1.2	281	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	281
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-25596-1.1	121	mandelate metabolic process	K11517;K16422;K00467;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	121
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-28708-1.2	139	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process	K11517;K00467;K00101;K16422;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	139
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29552-1.3	440	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process	K11517;K00101;K16422;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	440
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29552-1.4	819	Hydroxyacid oxidase	K11517;K00467;K16422;K00101;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];L-lactate oxidase [EC:1.1.3.2]	Signal peptide	1	27
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-40303-1.4	274	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	274
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-55808-1.1	364	Hydroxyacid oxidase	K11517;K00101;K16422;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Signal peptide	1	24
cluster_27	speciation	speciation	OG0002194	Yes	No	0.872134128794499	0.0104850110345232	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-110079-1.1	537	PFAM AMP-dependent synthetase and ligase	K01904;K00666;K04116;K10526;K12507	4-coumarate--CoA ligase [EC:6.2.1.12];fatty-acyl-CoA synthase [EC:6.2.1.-];cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-];OPC-8:0 CoA ligase 1 [EC:6.2.1.-];acyl-CoA synthetase [EC:6.2.1.-]	Chain	1	537
cluster_27	speciation	speciation	OG0002194	Yes	No	0.872134128794499	0.0104850110345232	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-21029-1.1	546	PFAM AMP-dependent synthetase and ligase	K01904;K00666;K10526;K12507;K04116	4-coumarate--CoA ligase [EC:6.2.1.12];fatty-acyl-CoA synthase [EC:6.2.1.-];OPC-8:0 CoA ligase 1 [EC:6.2.1.-];acyl-CoA synthetase [EC:6.2.1.-];cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]	Chain	1	546
cluster_27	speciation	speciation	OG0005278	Yes	No	0.95999137234676	0.0477294311647372	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-11455-1.4	156	NA	K23411;K24380;K03898;K23409;K13899	fetuin-B;cystatin-10;kininogen;alpha-2-HS-glycoprotein;cystatin-C	Signal peptide	1	19
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-14887-1.1	71	NA	NA	NA	Chain	1	71
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-16166-1.1	90	NA	NA	NA	Chain	1	90
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-215404-1.2	106	NA	K13470	disease resistance protein	Signal peptide	1	22
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-226807-1.1	190	NA	NA	NA	Signal peptide	1	23
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-242755-1.1	100	NA	NA	NA	Chain	1	100
cluster_27	speciation	speciation	OG0009053	Yes	No	1.82408894195146	0.0438736071102657	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29702-1.1	118	NA	NA	NA	Chain	1	118
cluster_27	speciation	speciation	OG0008100	Yes	No	1.83625185517744	0.0428648068756667	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-128634-1.5	343	NA	K07184;K14972;K04498;K24746;K15516	SH3 domain protein;PAX-interacting protein 1;E1A/CREB-binding protein [EC:2.3.1.48];WD repeat-containing protein 47;fragile X mental retardation protein	Chain	1	343
cluster_27	speciation	speciation	OG0011973	Yes	No	1.92129257673115	0.0444601991399807	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-230925-1.3	99	NA	K05302;K18676	N-lysine methyltransferase SETD6 [EC:2.1.1.-];glucosamine kinase [EC:2.7.1.8]	Chain	1	99
cluster_27	speciation	speciation	OG0009938	Yes & Top 5% Coef.	No	2.1292156229934	0.0182029022957594	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-139679-1.1	201	protein polyubiquitination	K10657;K10658;K10659;K10656;K10661	E3 ubiquitin-protein ligase MARCH2 [EC:2.3.2.27];E3 ubiquitin-protein ligase MARCH3 [EC:2.3.2.27];E3 ubiquitin-protein ligase MARCH4/9/11 [EC:2.3.2.27];E3 ubiquitin-protein ligase MARCH1/8 [EC:2.3.2.27];E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27]	Chain	1	201
cluster_33	speciation	speciation	OG0002063	Yes	No	0.247367192489112	0.0476224243303501	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-163516-1.1	523	NA	K25450;K08727;K10165;K22662;K10370	dynein regulatory complex subunit 5;nucleotide-binding oligomerization domain-containing protein 1;nucleotide-binding oligomerization domain-containing protein 2;NACHT, LRR and PYD domains-containing protein 8;tropomodulin	Chain	1	523
cluster_33	speciation	speciation	OG0002063	Yes	No	0.247367192489112	0.0476224243303501	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187775-1.4	342	NA	K12653;K08727;K10165;K17576;K22665	NLR family member X1;nucleotide-binding oligomerization domain-containing protein 1;nucleotide-binding oligomerization domain-containing protein 2;protein phosphatase 1 regulatory subunit 37;NACHT, LRR and PYD domains-containing protein 13	Chain	1	342
