cluster	model	profile_type	orthogroup	signif_level	signif_fdr	coefficient	pval	species	locus_tag	Length	egg_Description	KO	KO_definition	deepsig_feature	deepsig_start	deepsig_end	gene	expression
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-204625-1.2	192	NA	K01832;K07424;K14999;K17861;K07413	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 13;cytochrome P450 family 2 subfamily C [EC:1.14.14.1]	Chain	1	192	evm.contig-204625-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-204625-1.4	449	Belongs to the cytochrome P450 family	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	449	evm.contig-204625-1.4	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-23080-1.1	361	Thromboxane A synthase 1 (platelet)	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Chain	1	361	evm.contig-23080-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-26747-1.1	131	cytochrome P450	K01832;K07424;K15001;K14999;K07427	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 4 [EC:1.14.-.-];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]	Chain	1	131	evm.contig-26747-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-26747-1.2	523	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Chain	1	523	evm.contig-26747-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.1	156	heme binding	K01832;K07424;K14999;K15003;K17861	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 13	Chain	1	156	evm.contig-30577-1.1	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.2	556	testosterone 6-beta-hydroxylase activity	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	556	evm.contig-30577-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-30577-1.3	169	cytochrome P450, family 3, subfamily A, polypeptide 5	K01832;K07424;K14999;K07427;K15003	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79];cytochrome P450 family 9 [EC:1.14.-.-]	Chain	1	169	evm.contig-30577-1.3	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-85601-1.2	520	cytochrome P450, family 3, subfamily A, polypeptide 5	K01832;K07424;K14999;K15003;K17689	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 3 subfamily A4 [EC:1.14.13.32 1.14.14.55 1.14.14.56 1.14.14.57 1.14.14.73 1.14.14.-]	Signal peptide	1	17	evm.contig-85601-1.2	1
cluster_27	speciation	speciation	OG0000194	Yes	No	0.319950425497907	0.0026970514894527	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-8750-1.1	484	cytochrome P450	K01832;K07424;K14999;K15003;K15005	thromboxane-A synthase [EC:5.3.99.5];cytochrome P450 family 3 subfamily A [EC:1.14.14.1];cytochrome P450 family 6 [EC:1.14.-.-];cytochrome P450 family 9 [EC:1.14.-.-];cytochrome P450 family 28 [EC:1.14.-.-]	Chain	1	484	evm.contig-8750-1.1	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-114591-1.7	269	FMN-dependent dehydrogenase	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	269	evm.contig-114591-1.7	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-121632-1.2	783	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	783	evm.contig-121632-1.2	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-150964-1.1	363	Hydroxyacid oxidase	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	363	evm.contig-150964-1.1	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-15710-1.1	136	Conserved region in glutamate synthase	K11517;K00467;K16422;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	136	evm.contig-15710-1.1	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-179721-1.1	108	Hydroxyacid oxidase 2	K11517;K16422;K00467;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	108	evm.contig-179721-1.1	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-187775-1.2	281	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	281	evm.contig-187775-1.2	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-25596-1.1	121	mandelate metabolic process	K11517;K16422;K00467;K00101;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	121	evm.contig-25596-1.1	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-28708-1.2	139	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process	K11517;K00467;K00101;K16422;K15054	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];(S)-mandelate dehydrogenase [EC:1.1.99.31]	Chain	1	139	evm.contig-28708-1.2	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29552-1.3	440	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process	K11517;K00101;K16422;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	440	evm.contig-29552-1.3	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29552-1.4	819	Hydroxyacid oxidase	K11517;K00467;K16422;K00101;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];lactate 2-monooxygenase [EC:1.13.12.4];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];L-lactate oxidase [EC:1.1.3.2]	Signal peptide	1	27	evm.contig-29552-1.4	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-40303-1.4	274	Hydroxyacid oxidase (glycolate oxidase) 1	K11517;K16422;K00101;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];4-hydroxymandelate oxidase [EC:1.1.3.46];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Chain	1	274	evm.contig-40303-1.4	1
cluster_27	speciation	speciation	OG0000189	Yes	No	0.504281191593478	0.00603129884474909	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-55808-1.1	364	Hydroxyacid oxidase	K11517;K00101;K16422;K00467;K10530	(S)-2-hydroxy-acid oxidase [EC:1.1.3.15];L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3];4-hydroxymandelate oxidase [EC:1.1.3.46];lactate 2-monooxygenase [EC:1.13.12.4];L-lactate oxidase [EC:1.1.3.2]	Signal peptide	1	24	evm.contig-55808-1.1	1
cluster_27	speciation	speciation	OG0002194	Yes	No	0.872134128794499	0.0104850110345232	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-110079-1.1	537	PFAM AMP-dependent synthetase and ligase	K01904;K00666;K04116;K10526;K12507	4-coumarate--CoA ligase [EC:6.2.1.12];fatty-acyl-CoA synthase [EC:6.2.1.-];cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-];OPC-8:0 CoA ligase 1 [EC:6.2.1.-];acyl-CoA synthetase [EC:6.2.1.-]	Chain	1	537	evm.contig-110079-1.1	1
cluster_27	speciation	speciation	OG0002194	Yes	No	0.872134128794499	0.0104850110345232	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-21029-1.1	546	PFAM AMP-dependent synthetase and ligase	K01904;K00666;K10526;K12507;K04116	4-coumarate--CoA ligase [EC:6.2.1.12];fatty-acyl-CoA synthase [EC:6.2.1.-];OPC-8:0 CoA ligase 1 [EC:6.2.1.-];acyl-CoA synthetase [EC:6.2.1.-];cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]	Chain	1	546	evm.contig-21029-1.1	1
cluster_27	speciation	speciation	OG0005278	Yes	No	0.960369610300112	0.0477239308790421	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-11455-1.4	156	NA	K23411;K24380;K03898;K23409;K13899	fetuin-B;cystatin-10;kininogen;alpha-2-HS-glycoprotein;cystatin-C	Signal peptide	1	19	evm.contig-11455-1.4	1
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-14887-1.1	71	NA	NA	NA	Chain	1	71	evm.contig-14887-1.1	0
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-16166-1.1	90	NA	NA	NA	Chain	1	90	evm.contig-16166-1.1	1
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-215404-1.2	106	NA	K13470	disease resistance protein	Signal peptide	1	22	evm.contig-215404-1.2	1
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-226807-1.1	190	NA	NA	NA	Signal peptide	1	23	evm.contig-226807-1.1	1
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-242755-1.1	100	NA	NA	NA	Chain	1	100	evm.contig-242755-1.1	1
cluster_27	speciation	speciation	OG0009053	Yes	No	1.79477836387294	0.0445427648825202	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-29702-1.1	118	NA	NA	NA	Chain	1	118	evm.contig-29702-1.1	1
cluster_27	speciation	speciation	OG0008100	Yes	No	1.83712989209613	0.0427765831020636	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-128634-1.5	343	NA	K07184;K14972;K04498;K24746;K15516	SH3 domain protein;PAX-interacting protein 1;E1A/CREB-binding protein [EC:2.3.1.48];WD repeat-containing protein 47;fragile X mental retardation protein	Chain	1	343	evm.contig-128634-1.5	1
cluster_27	speciation	speciation	OG0011973	Yes & Top 5% Coef.	No	1.92129257673115	0.0444601991399807	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-230925-1.3	99	NA	K05302;K18676	N-lysine methyltransferase SETD6 [EC:2.1.1.-];glucosamine kinase [EC:2.7.1.8]	Chain	1	99	evm.contig-230925-1.3	1
cluster_33	speciation	speciation	OG0000479	Yes	No	0.163652994333656	0.0382685479871234	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-15792-1.2	465	NA	K10284;K10268;K10280;K10275;K15069	F-box and leucine-rich repeat protein 18;F-box and leucine-rich repeat protein 2/20;F-box and leucine-rich repeat protein 14;F-box and leucine-rich repeat protein 9;F-box/TPR repeat protein Pof3	Chain	1	465	evm.contig-15792-1.2	1
cluster_33	speciation	speciation	OG0000479	Yes	No	0.163652994333656	0.0382685479871234	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-15792-1.3	369	NA	K10284;K10291;K10275;K10273;K10293	F-box and leucine-rich repeat protein 18;F-box protein 4;F-box and leucine-rich repeat protein 9;F-box and leucine-rich repeat protein 7;F-box protein 7	Chain	1	369	evm.contig-15792-1.3	0
cluster_33	speciation	speciation	OG0000479	Yes	No	0.163652994333656	0.0382685479871234	Amblyomma-americanum	Amblyomma-americanum_evm.model.contig-194696-1.1	608	NA	K10284;K10273;K10268;K10278;K15069	F-box and leucine-rich repeat protein 18;F-box and leucine-rich repeat protein 7;F-box and leucine-rich repeat protein 2/20;F-box and leucine-rich repeat protein 12;F-box/TPR repeat protein Pof3	Chain	1	608	evm.contig-194696-1.1	1
