X1,X2,leiden_cluster_id,walktrap6_cluster_id,infomap_cluster_id,walktrap4_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000039,-4.49721294119238,7.32780169841926,9,10,15,559,924,Tissue factor pathway inhibitor 2-like isoform X4,GO:0004867; GO:0010466; GO:0044562 (489),GO:0004867; GO:0005576; GO:0010466; GO:0030198; GO:0044562; GO:0090729 (34)
OG0000040,-2.08085308446764,0.808151239129708,10,353,16,560,925,Peptidase M12B domain-containing protein,GO:0004222; GO:0006508; GO:0046872 (470),GO:0004222; GO:0006509; GO:0046872 (91)
OG0000041,0.175418799377691,-2.63166863324959,11,354,17,561,926,Fatty acid synthase, putative,GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0031177; GO:0047117 (212),GO:0004315; GO:0006633 (128)
OG0000042,-17.8583219595182,-5.05913580062707,12,355,18,562,927,Phosphatidylinositol transfer protein SEC14, putative,GO:0004252; GO:1902936 (479),GO:1902936 (60)
OG0000043,-7.04596739485144,-7.13173604610284,13,356,19,563,928,Lipase,GO:0006629; GO:0016788 (328),GO:0006629; GO:0016020; GO:0016788 (97)
OG0000044,-5.11538272573828,-3.32456984224637,10,357,20,564,929,Short-chain dehydrogenase-like protein,GO:0016491 (472),GO:0016020 (46)
OG0000045,-2.72615831568121,-3.78861332538445,4,57,21,565,930,Homeobox domain-containing protein,GO:0000981; GO:0003677; GO:0005634 (371),GO:0003677; GO:0005634 (57)
OG0000046,-4.7661803312528,-8.06258297565301,3,83,22,13,931,Protein kinase C,GO:0004674; GO:0005524; GO:0006468 (156),GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (68)
OG0000047,-17.9684331960904,-5.12614215019066,12,358,18,566,932,Cytochrome P450, putative,GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (247),GO:0004497; GO:0005506; GO:0016705; GO:0020037 (128)
OG0000048,-3.37378793432592,-7.01755691173394,5,359,23,567,933,Peroxidase,GO:0004601; GO:0006979; GO:0020037; GO:0046872 (293),GO:0004601; GO:0006979; GO:0020037; GO:0046872; GO:0140825 (167)
OG0000049,-4.22182374670385,-6.42767859103997,4,360,24,568,934,Retinol dehydrogenase 11,GO:0016020 (399),GO:0016020; GO:0016630 (98)
OG0000050,-2.59037374927877,-7.39740563037713,5,361,7,569,935,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (315),GO:0006820; GO:0016020; GO:0022857 (80)
OG0000051,-17.965884978317,-5.12416434886773,12,362,18,570,936,Chitinase, putative,GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (438),GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0016020 (29)
OG0000052,1.92321867272974,-6.9458017409118,8,363,25,571,937,None,None,NA
OG0000053,-6.83806639387487,-4.9679933846267,4,364,26,572,938,Hexosyltransferase,GO:0000139; GO:0006493; GO:0016020; GO:0016758 (321),GO:0000139; GO:0006486; GO:0016758 (110)
OG0000055,-2.34792702867864,0.784037107202218,14,7,27,573,939,Putative serine carboxypeptidase CPVL-like protein,GO:0004185; GO:0006508 (447),GO:0004185; GO:0006508; GO:0016020 (15)
OG0000056,1.89552659318567,7.22667598125617,15,113,28,574,940,Tc1-like transposase DDE domain-containing protein,GO:0003676 (462),NA
OG0000057,-4.816617066406,4.96391295787971,16,86,29,575,941,None,None,NA
OG0000058,-3.32519906237005,6.61771869060676,17,365,15,576,942,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0004867; GO:0010466 (405),GO:0004867; GO:0010466; GO:0016020 (52)
OG0000059,-3.12725036814092,-3.57021943333466,4,366,30,577,943,Ig-like domain-containing protein,GO:0016020 (456),NA
OG0000060,-4.88967114164709,7.32811831829231,9,367,31,578,944,Slit1 protein-like,None,NA
OG0000061,-2.51568483784078,0.303683274957345,4,368,32,579,945,None,None,NA
OG0000062,-2.65132873728155,-7.46032763126214,5,369,7,580,946,Sodium-coupled monocarboxylate transporter 1,GO:0016020; GO:0022857 (410),GO:0005840; GO:0016020; GO:0022857; GO:1990904 (31)
OG0000063,-2.24684041216253,-5.31300378444512,10,56,33,581,947,Kinesin-like protein,GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (142),GO:0003777; GO:0005524; GO:0007018; GO:0008017; GO:0015630 (126)
OG0000064,-7.02521782591223,-4.69996250274499,4,209,8,582,948,Fork-head domain-containing protein,GO:0003700; GO:0005634; GO:0043565 (275),GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154 (42)
OG0000065,5.16106957719446,1.82451867458503,18,191,34,583,949,None,None,NA
OG0000067,6.0143258027804,2.42288064357917,15,7,1,460,950,Cadherin domain-containing protein,GO:0005509; GO:0005886; GO:0007156 (229),GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0098609 (63)
OG0000068,-2.55121939852117,-7.52840662601311,5,370,7,584,951,Ionotropic glutamate receptor C-terminal domain-containing protein,GO:0015276; GO:0016020 (244),GO:0004970; GO:0005886 (109)
OG0000069,-9.80559139921545,9.3144693314759,6,371,11,585,952,Heat shock protein, putative,GO:0005524; GO:0140662 (95),GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (94)
OG0000070,-17.9864271230924,-5.14053416850884,12,372,18,586,953,glutathione transferase,GO:0004364 (395),GO:0004364; GO:0042802 (18)
OG0000071,-10.2830207891691,-7.97953606250603,19,164,35,587,954,Histone-lysine N-methyltransferase SETMAR,GO:0003676; GO:0008168; GO:0032259 (409),GO:0003676 (3)
OG0000073,-4.0510867185819,-6.73856926563103,4,373,9,588,955,Dehydrogenase, putative,GO:0004745; GO:0008202; GO:0016020; GO:0016491; GO:0043231 (175),GO:0016491 (130)
OG0000074,-11.915631110214,-4.48569119575341,20,374,36,589,956,Myosin motor domain-containing protein,GO:0000146; GO:0005524; GO:0005737; GO:0005886; GO:0005902; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (86),GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (68)
OG0000075,-7.1574590749967,-4.65413785579522,4,160,8,590,957,G-protein coupled receptors family 1 profile domain-containing protein,GO:0004715; GO:0004993; GO:0007187; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0045202 (98),GO:0004930; GO:0016020 (92)
OG0000077,0.922409480072271,-0.550551897314384,21,54,37,591,958,ABC transporter, putative,GO:0005524; GO:0005886; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (165),GO:0005524; GO:0016020; GO:0016887; GO:0140359 (141)
OG0000078,-5.95554762556433,-5.39729309680779,22,375,38,592,959,Glutathione S-transferase 1: isoform D-like protein,GO:0016740 (359),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (38)
OG0000079,1.77939051911951,7.51025008556526,23,42,39,593,960,Pogo transposable element with KRAB domain-like protein,None,NA
OG0000080,-3.21385138704656,6.72049044963996,8,12,40,594,961,Beta-ketoacyl-ACP reductase, putative,GO:0004316 (274),GO:0016491 (86)
OG0000081,-7.12198382093786,-4.76546073558648,4,95,8,595,962,Polypeptide N-acetylgalactosaminyltransferase,GO:0000139; GO:0006486; GO:0016757; GO:0030246 (149),GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246 (131)
OG0000082,-0.0125945158231147,3.67046689388435,24,68,41,596,963,Endonuclease/exonuclease/phosphatase domain-containing protein,GO:0003824 (389),NA
OG0000083,-4.76269441320776,-16.958280569342,25,138,42,597,964,Guanylate cyclase,GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556 (50),GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0016020; GO:0035556 (45)
OG0000084,-9.8384402342069,1.28711890575568,26,376,43,598,965,Caspase family p20 domain-containing protein,GO:0004197; GO:0006508; GO:0016020; GO:0022857 (159),GO:0008643; GO:0016020 (92)
OG0000085,-2.71256058885931,-10.6916227400573,27,377,44,599,966,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0005886; GO:0007155; GO:0007411 (303),GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (77)
OG0000086,-18.0300348348844,-5.1893262923034,12,151,18,600,967,Neuronal acetylcholine receptor subunit alpha-7-like,GO:0004888; GO:0022848; GO:0045211 (202),GO:0004888; GO:0022848; GO:0043005; GO:0045202; GO:0045211 (96)
OG0000087,-4.32056956961035,-4.98668110969384,4,378,45,601,968,Solute carrier organic anion transporter family member,GO:0005886; GO:0006811; GO:0055085 (154),GO:0005886; GO:0006811; GO:0015347; GO:0043252 (99)
OG0000089,-3.36681609823583,-6.22530174854119,4,379,38,602,969,Sulfatase N-terminal domain-containing protein,GO:0016020 (371),NA
OG0000091,-2.98416536524176,-1.42065108421166,28,58,46,603,970,EGF-like domain-containing protein,GO:0006897; GO:0016020 (135),GO:0005509; GO:0006897; GO:0016020 (127)
OG0000092,-3.98820667936682,-4.91311777236779,4,165,45,604,971,Der-p2-like allergen,GO:0015918; GO:0032934 (290),GO:0005576; GO:0015918; GO:0032367; GO:0032934 (51)
OG0000093,-5.48261314108251,-3.33385776582082,10,380,47,605,972,Pyruvate phosphate dikinase AMP/ATP-binding domain-containing protein,GO:0005524; GO:0016301; GO:0016310 (167),GO:0016310; GO:0016772 (142)
OG0000094,-7.11197548582434,-4.85542142989953,4,30,8,606,973,Tyrosine-protein kinase,GO:0002009; GO:0004715; GO:0005524; GO:0006468; GO:0009887; GO:0048468; GO:0065008 (93),GO:0002009; GO:0004715; GO:0005524; GO:0005576; GO:0005886; GO:0006468; GO:0006887; GO:0044218; GO:0044231; GO:0065008; GO:0090729 (55)
OG0000095,-4.92099099829077,-1.69852209689934,3,137,48,607,974,Cuticle protein 16.8-like,GO:0042302 (353),NA
OG0000096,-6.91384154035925,-4.64330614211877,4,103,8,100,975,Transcription factor, putative,GO:0003700; GO:0005634; GO:0007423; GO:0045944; GO:0046983; GO:0048663; GO:0061564; GO:0070888 (250),GO:0046983 (75)
OG0000097,-5.53953843786596,-5.34513831737359,1,381,49,608,976,Fucosyltransferase,GO:0006486; GO:0008417; GO:0032580; GO:0036065 (135),GO:0006486; GO:0017060; GO:0032580; GO:0036065; GO:0046920 (102)
OG0000098,-9.77639370634435,1.06784867641609,29,382,50,609,977,None,None,NA
OG0000099,-10.177515799545,-5.97269273403008,21,127,51,610,978,Innexin,GO:0005886; GO:0005921; GO:0006811 (179),GO:0005243; GO:0005886; GO:0005921; GO:0006811; GO:0007602 (116)
OG0000100,-6.16308527662634,-5.48651171329339,1,33,49,611,979,dolichyl-phosphate-mannose--protein mannosyltransferase,GO:0004169; GO:0005783; GO:0016020 (239),GO:0000030; GO:0004169; GO:0005789; GO:0035269 (28)
OG0000101,-4.6231515951383,-8.30570364597161,3,3,52,612,980,Epithelial chloride channel protein-like protein,GO:0016020 (190),GO:0005576; GO:0016298 (152)
OG0000102,-8.97957783415197,-9.15182400348504,30,383,53,613,981,Cathepsin L,GO:0006508; GO:0008234 (321),GO:0004197; GO:0005615; GO:0006955; GO:0008656; GO:0010952; GO:0051603; GO:2001235 (18)
OG0000103,-10.3560188360441,-5.65713310840447,5,127,54,52,982,Retinal dehydrogenase 1-like,GO:0016620 (225),GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620; GO:0016742 (88)
OG0000104,0.257817452408087,-7.29129553439934,31,384,50,614,983,RNA-directed DNA polymerase,GO:0003676; GO:0015074 (335),NA
OG0000105,-0.84793883039831,0.266682380410836,18,7,41,615,984,CCHC-type domain-containing protein,GO:0003676; GO:0004190; GO:0006508; GO:0008270 (279),GO:0003676; GO:0008270 (55)
OG0000106,-7.31072788908361,-4.61012054088433,4,385,8,616,985,RNA helicase,GO:0004386; GO:0005524; GO:0016787 (72),GO:0003676; GO:0004386; GO:0005524; GO:0016787 (68)
OG0000107,-2.43584060146688,-2.35108364227135,5,161,17,617,986,Fatty acyl-CoA reductase,GO:0005777; GO:0035336; GO:0080019; GO:0102965 (130),GO:0080019; GO:0102965; GO:1901568 (79)
OG0000108,-7.33690624906896,-4.80723512771447,4,296,8,262,987,Cdc42 protein, putative,GO:0003006; GO:0003924; GO:0005525; GO:0007264; GO:0022412; GO:0035006; GO:0035099 (149),GO:0003006; GO:0003924; GO:0004767; GO:0005525; GO:0005886; GO:0007015; GO:0007165; GO:0007264; GO:0019901; GO:0022412; GO:0035006; GO:0035099 (68)
OG0000109,0.40772671029688,3.1968049943177,7,386,55,618,988,None,None,NA
OG0000110,-7.01809435560583,-4.87173545959313,4,95,8,619,989,Kelch-like protein diablo,GO:0003779; GO:0016567 (285),GO:0003779 (42)
OG0000111,3.23266190812708,1.76339911815803,32,7,56,620,990,Fibroleukin-like,None,NA
OG0000112,-3.98206668569921,-6.43224692943413,4,39,57,621,991,HMG box domain-containing protein,GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0009653; GO:0030154; GO:0032440 (128),GO:0003677; GO:0005634 (114)
OG0000113,-17.9437311239469,-5.09866703155358,12,151,18,622,992,Lipase, putative,GO:0004806; GO:0005615; GO:0016042; GO:0016298 (133),GO:0005576; GO:0006629; GO:0016298; GO:0046872; GO:0052689 (50)
OG0000114,-4.93046479894995,-17.0492715895446,25,138,42,623,993,MADF domain-containing protein,GO:0003677; GO:0005634; GO:0005667; GO:0006351; GO:0006357 (281),GO:0003677; GO:0005634; GO:0006351; GO:0006355 (40)
OG0000115,-5.89077072813391,-5.19954538944085,1,170,49,624,994,C2H2-type domain-containing protein,GO:0000978; GO:0000981; GO:0006357 (320),NA
OG0000116,-8.47752314283727,-8.31097651126702,30,387,38,625,995,Fatty acid desaturase domain-containing protein,GO:0006633; GO:0016020; GO:0016717; GO:0046872 (136),GO:0004768; GO:0005506; GO:0005789; GO:0006636 (104)
OG0000117,-3.83887141420721,-3.83499652746041,4,388,5,626,996,Scavenger receptor class B type I, putative,GO:0016020 (294),GO:0005044; GO:0005737; GO:0016020 (14)
OG0000118,-3.92991786672949,-3.56935227516015,4,45,58,627,997,ABC transporter domain-containing protein,GO:0005524; GO:0016887; GO:0043190; GO:0140359 (100),GO:0043190; GO:0140359 (75)
OG0000119,1.64319843576075,-7.05004692676385,31,389,59,628,998,RNA helicase,GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0016787; GO:1990904 (165),GO:0003676; GO:0003724; GO:0005524; GO:0016787; GO:0043229 (59)
OG0000121,-4.75321059896826,-1.92075515392144,20,390,60,629,999,Large neutral amino acids transporter small subunit 2-like protein,GO:0016020; GO:0022857 (310),NA
OG0000122,-3.73354047014593,-6.54742837550957,4,145,61,630,1000,G-protein coupled receptors family 2 profile 2 domain-containing protein,GO:0004930; GO:0007166; GO:0016020 (300),GO:0004930; GO:0005886; GO:0005921; GO:0006811; GO:0007166 (6)
OG0000123,-9.85692291929601,1.22982119915168,15,7,62,631,1001,None,None,NA
OG0000124,1.92818898484827,-7.10436249378045,8,62,63,632,1002,Flavin-containing monooxygenase,GO:0004497; GO:0004499; GO:0005789; GO:0006629; GO:0016174; GO:0047822; GO:0050660; GO:0050661 (124),GO:0004499; GO:0005789; GO:0006629; GO:0050660; GO:0050661 (50)
OG0000125,10.1420509271395,5.86816787120979,33,270,64,633,1003,ATP-dependent DNA helicase,GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787 (252),GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016887 (56)
OG0000126,-17.9802263326871,-5.14340866210778,12,391,18,634,1004,Transmembrane protein 188,GO:0005737; GO:0006629; GO:0031965; GO:0035307; GO:0071595 (180),GO:0006631; GO:0016491; GO:0031956 (126)
OG0000127,-17.9693067617643,-5.16986585262139,12,392,18,635,1005,Long chain fatty acid CoA ligase, putative,GO:0001676; GO:0005783; GO:0005811; GO:0005886; GO:0030182; GO:0035336; GO:0090433 (182),GO:0016020; GO:0016874 (112)
OG0000128,-5.10348993017553,-2.10465908649285,3,84,48,636,1006,Translation initiation factor 2C-like,GO:0003743; GO:0061980 (259),GO:0008270; GO:0061980 (31)
OG0000129,-2.43293797447561,-4.92347932460625,4,73,65,637,1007,RNA-dependent RNA polymerase,GO:0003723; GO:0003968; GO:0030422; GO:0031380 (243),GO:0003723; GO:0003968; GO:0031047 (58)
OG0000130,-5.71460133268713,2.06424664852302,10,7,66,638,1008,Aminopeptidase,GO:0004177; GO:0006508; GO:0008237; GO:0008270 (127),GO:0004177; GO:0006508; GO:0008237; GO:0008270; GO:0016020 (55)
OG0000131,-7.21387654020666,-4.73043561580498,4,393,8,639,1009,adenylate cyclase,GO:0009190; GO:0009975; GO:0016020; GO:0016849; GO:0035556 (75),GO:0004016; GO:0005524; GO:0009190; GO:0016020; GO:0035556; GO:0046872 (74)
OG0000132,-2.67860340549826,-7.65089846256097,5,394,7,640,1010,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (153),GO:0016020 (138)
OG0000133,-0.0801991768109687,-7.71494818332513,31,395,67,641,1011,Secreted protein,None,NA
OG0000134,-3.07422631456732,-3.76156259181817,4,396,30,642,1012,BTB domain-containing protein,None,NA
OG0000135,-11.4557874746549,-3.96365351083596,1,163,68,643,1013,Chitin-binding type-2 domain-containing protein,GO:0005975 (99),GO:0005576; GO:0005975; GO:0008061; GO:0016810 (81)
OG0000136,4.88110703752161,7.98108100292365,34,7,69,75,1014,AAA+ ATPase domain-containing protein,GO:0000502; GO:0005524; GO:0005737; GO:0016887; GO:0030163; GO:0036402 (148),GO:0000502; GO:0005524; GO:0005737; GO:0006508; GO:0008233; GO:0016887; GO:0030163; GO:0036402 (133)
OG0000137,-3.96520167066931,-6.85593557956536,4,397,57,644,1015,Degenerin del-1-like,GO:0005272; GO:0016020 (262),GO:0016020 (28)
OG0000138,-2.88535284473776,-4.78717101219018,4,398,70,645,1016,Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Fragment)),GO:0015137; GO:0015141; GO:0015746; GO:0016020 (161),GO:0016020; GO:1901702 (125)
OG0000139,-2.88002913668035,7.16243266460578,7,399,71,646,1017,Low-density lipoprotein receptor, putative,GO:0004222; GO:0004252; GO:0016020 (256),GO:0016020; GO:0046872 (17)
OG0000140,-8.02361136152624,-3.29141261282284,10,56,72,647,1018,G-protein coupled receptors family 3 profile domain-containing protein,GO:0004930; GO:0005886 (233),GO:0001640; GO:0007216; GO:0051966; GO:0098839; GO:0099530; GO:0099583 (44)
OG0000141,-2.42563741876959,-10.1379160940917,27,27,73,648,1019,Lachesin-like protein,GO:0016020 (282),NA
OG0000142,-5.59303599073767,-3.27995517703612,10,98,74,649,1020,Fatty-acid amide hydrolase 2-like protein,GO:0016787 (272),GO:0016740 (9)
OG0000143,-5.60106092169165,5.18642997142951,11,400,75,650,1021,None,None,NA
OG0000144,-4.61204033567785,7.21285819408576,2,10,76,651,1022,Beta-galactosidase,GO:0004565; GO:0005764; GO:0005975 (134),GO:0004565; GO:0005764; GO:0005773; GO:0005975 (68)
OG0000145,-5.64850216581701,-3.51060441735108,10,401,16,652,1023,Metalloendopeptidase,GO:0004222; GO:0006508; GO:0008270 (267),GO:0004222; GO:0006508 (5)
OG0000146,-4.63840347006201,-8.60255003574212,3,83,3,653,1024,Ig-like domain-containing protein,GO:0032589; GO:0050808 (242),GO:0016020 (30)
OG0000147,-6.76102047636389,-4.9916465342315,4,103,8,654,1025,T-box domain-containing protein,GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0045893 (147),GO:0000978; GO:0000981; GO:0001708; GO:0005634; GO:0006357; GO:0045893 (77)
OG0000148,-11.8120744772184,-4.37846494319756,20,76,68,655,1026,Transporter, putative,GO:0005886; GO:0016020; GO:0022857; GO:0032440; GO:0051119; GO:0055085 (105),GO:0005886; GO:0016020; GO:0022857; GO:0051119; GO:0055085 (93)
OG0000149,-1.06114190294622,-0.259134298590018,7,10,15,656,1027,5' nucleotidase, putative,GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872; GO:0106411 (212),GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872 (22)
OG0000150,-2.39778190328955,-5.2371516287597,10,56,77,657,1028,P-type domain-containing protein,GO:0005975; GO:0016020; GO:0030246; GO:0090599 (249),GO:0004553; GO:0005975 (18)
OG0000151,-2.58808153345465,-10.103713041571,27,158,78,658,1029,EamA domain-containing protein,GO:0016020 (272),GO:0005886; GO:0005921; GO:0006811 (1)
OG0000152,-7.09841042234777,-4.73251462581475,4,122,8,659,1030,Choline/carnitine acyltransferase domain-containing protein,GO:0006635; GO:0016746 (152),GO:0004102; GO:0005737; GO:0007274; GO:0008292; GO:0043005; GO:0045202 (44)
OG0000153,5.51264828965784,1.37676047680061,35,155,79,660,1031,None,None,NA
OG0000154,-7.11415129377722,-4.79422867896874,4,209,8,167,1032,Paired box protein pax2.1, putative,GO:0003677; GO:0005634; GO:0006355 (138),GO:0000981; GO:0003677; GO:0005634; GO:0048856 (105)
OG0000155,1.94909591004969,-7.36773539188225,8,70,4,661,1033,Peptidase inhibitor 15,GO:0005576 (271),NA
OG0000157,-0.734142000221003,0.0717363297669151,28,125,80,662,1034,None,None,NA
OG0000158,-2.50494682266592,-7.12132859828789,5,108,7,663,1035,Latrophilin Cirl,GO:0004930; GO:0007166; GO:0016020; GO:0030246 (134),GO:0004930; GO:0007166; GO:0007189; GO:0016020 (84)
OG0000159,-4.94950419142126,7.33571624157111,9,60,81,664,1036,Cuticular protein, putative,GO:0005576; GO:0008061; GO:0016020 (217),GO:0005576; GO:0008061 (49)
OG0000160,-0.398663455985773,-4.77354848983605,7,402,82,665,1037,Cell death protein 3-like protein,GO:0004197; GO:0006508; GO:0019222; GO:0043067 (113),GO:0005737; GO:0006508; GO:0019222; GO:0042981; GO:0097194; GO:0097200 (65)
OG0000161,-0.7244859285581,-1.3441147864135,16,86,29,666,1038,Putative nuclease HARBI1 (Harbinger transposase-derived nuclease),GO:0005634; GO:0005737; GO:0016787; GO:0046872 (256),GO:0046872 (7)
OG0000163,-10.7320001669156,-5.94764972331841,21,127,51,269,1039,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (262),NA
OG0000164,-6.48800926878332,-5.09671474101861,1,403,8,667,1040,Protein Wnt,GO:0005102; GO:0005576; GO:0016055; GO:0048699 (166),GO:0005109; GO:0005125; GO:0005615; GO:0030182; GO:0045165; GO:0060070 (69)
OG0000165,3.70798367784144,-3.37132108810265,26,18,1,163,1041,LIM zinc-binding domain-containing protein,GO:0046872 (118),GO:0000981; GO:0003677; GO:0005634; GO:0046872 (44)
OG0000166,-5.83735948278784,-5.18063378932793,1,170,49,267,1042,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (217),GO:0005576; GO:0008061; GO:0016020 (32)
OG0000167,-6.25585823728918,-6.75982452037652,13,52,83,668,1043,Motile sperm domain-containing protein 2-like protein,GO:0016020 (260),NA
OG0000168,-2.02580359055876,0.347757095071481,4,404,14,669,1044,None,None,NA
OG0000169,-9.61528902723669,9.11914157268684,6,140,11,670,1045,Protein kinase, putative,GO:0000287; GO:0004674; GO:0004698; GO:0005524; GO:0005654; GO:0005737; GO:0018105 (132),GO:0004672; GO:0005524; GO:0006468 (77)
OG0000170,-4.77633290960668,7.28072261211555,9,200,84,671,1046,Carboxylic ester hydrolase,GO:0003990; GO:0005615; GO:0005886; GO:0006581; GO:0019695 (223),GO:0003990; GO:0042135 (34)
OG0000171,-5.04813748075842,-13.6041269362243,36,87,85,46,1047,Peptidyl-prolyl cis-trans isomerase (PPIase),GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018; GO:0043231 (120),GO:0000413; GO:0003755; GO:0006457 (64)
OG0000172,13.3263942651522,4.27193974849861,2,25,86,672,1048,None,None,NA
OG0000173,2.13686484620691,-7.12549925449212,8,405,25,673,1049,DDE Tnp4 domain-containing protein,None,NA
OG0000174,2.37757367417933,-7.00293946864922,8,70,87,674,1050,None,None,NA
OG0000175,-5.83180337622045,-5.43294191959222,1,406,49,675,1051,Multidrug resistance protein, putative,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (80),GO:0005524; GO:0016020; GO:0016787; GO:0042626; GO:0055085; GO:0140359 (47)
OG0000176,-3.83461003973364,-4.87833250167687,4,407,45,676,1052,C4b-binding protein beta chain, putative,GO:0030246 (76),GO:0005576; GO:0030414 (67)
