X1,X2,leiden_cluster_id,walktrap6_cluster_id,walktrap4_cluster_id,infomap_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000034,-12.3935101892784,-0.10423585884053,10,47,641,13,866,Acid methyltransferase, putative,GO:0004395; GO:0005739; GO:0006744; GO:0032259 (538),GO:0003824 (65)
OG0000036,-3.42382844947132,-4.34231194965321,12,439,642,14,867,Nose resistant to fluoxetine protein 6-like,GO:0016020; GO:0016747 (575),GO:0016020 (11)
OG0000037,-5.10784801505359,-11.0510687541195,12,440,643,15,868,THAP-type domain-containing protein,GO:0043565 (581),NA
OG0000039,-3.60373338721546,-3.38130471221883,13,441,644,7,869,Tissue factor pathway inhibitor 2-like isoform X4,GO:0004867; GO:0010466; GO:0044562 (489),GO:0004867; GO:0005576; GO:0010466; GO:0030198; GO:0044562; GO:0090729 (34)
OG0000040,-9.12336381934436,3.42722847946208,14,317,645,16,870,Peptidase M12B domain-containing protein,GO:0004222; GO:0006508; GO:0046872 (470),GO:0004222; GO:0006509; GO:0046872 (91)
OG0000041,-8.23922761939319,-1.5906088065334,15,442,646,17,871,Fatty acid synthase, putative,GO:0004312; GO:0004313; GO:0004315; GO:0004316; GO:0004320; GO:0006633; GO:0008659; GO:0016295; GO:0016296; GO:0019171; GO:0031177; GO:0047117 (212),GO:0004315; GO:0006633 (128)
OG0000042,2.65470646657197,-3.97948822490651,16,153,24,18,872,Phosphatidylinositol transfer protein SEC14, putative,GO:0004252; GO:1902936 (479),GO:1902936 (60)
OG0000043,-9.30471738837512,3.61705496795696,14,57,647,16,873,Lipase,GO:0006629; GO:0016788 (328),GO:0006629; GO:0016020; GO:0016788 (97)
OG0000044,-7.86025651953968,5.96000626571696,4,443,648,5,874,Short-chain dehydrogenase-like protein,GO:0016491 (472),GO:0016020 (46)
OG0000045,4.86745253540722,6.61115696914714,17,444,649,19,875,Homeobox domain-containing protein,GO:0000981; GO:0003677; GO:0005634 (371),GO:0003677; GO:0005634 (57)
OG0000046,-0.603553619606815,1.73304560668987,18,445,650,20,876,Protein kinase C,GO:0004674; GO:0005524; GO:0006468 (156),GO:0004674; GO:0004698; GO:0005524; GO:0018105; GO:0035556 (68)
OG0000047,-3.01288494132312,3.64966013916057,5,43,651,21,877,Cytochrome P450, putative,GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037 (247),GO:0004497; GO:0005506; GO:0016705; GO:0020037 (128)
OG0000048,2.27803770043103,-0.210192174834793,19,58,652,22,878,Peroxidase,GO:0004601; GO:0006979; GO:0020037; GO:0046872 (293),GO:0004601; GO:0006979; GO:0020037; GO:0046872; GO:0140825 (167)
OG0000049,-15.8491404917076,-7.19937893859822,20,446,653,23,879,Retinol dehydrogenase 11,GO:0016020 (399),GO:0016020; GO:0016630 (98)
OG0000050,1.51354983784405,2.46957686431926,21,3,654,8,880,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (315),GO:0006820; GO:0016020; GO:0022857 (80)
OG0000051,-3.01124032996448,3.83807614334148,5,447,655,21,881,Chitinase, putative,GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (438),GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0016020 (29)
OG0000052,-8.80708536170276,3.29941418655437,14,448,656,24,882,None,None,NA
OG0000053,5.19310084320752,0.905044584350998,5,153,657,25,883,Hexosyltransferase,GO:0000139; GO:0006493; GO:0016020; GO:0016758 (321),GO:0000139; GO:0006486; GO:0016758 (110)
OG0000055,1.95598331429211,-9.39534136764485,22,37,658,26,884,Putative serine carboxypeptidase CPVL-like protein,GO:0004185; GO:0006508 (447),GO:0004185; GO:0006508; GO:0016020 (15)
OG0000056,4.03958443142621,9.63961270340007,15,449,659,27,885,Tc1-like transposase DDE domain-containing protein,GO:0003676 (462),NA
OG0000057,-8.86140378974231,3.60140231140178,23,450,660,28,886,None,None,NA
OG0000058,-10.0586465265587,-6.87749955169637,24,451,661,29,887,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0004867; GO:0010466 (405),GO:0004867; GO:0010466; GO:0016020 (52)
OG0000059,-7.37728532813343,-1.07630333415944,25,52,69,30,888,Ig-like domain-containing protein,GO:0016020 (456),NA
OG0000060,-6.66453203223499,-6.66722914688069,26,27,163,31,889,Slit1 protein-like,None,NA
OG0000061,0.16943946816174,-7.60061451904256,27,452,662,32,890,None,None,NA
OG0000062,1.85306427218167,-1.07183024398763,28,79,43,33,891,Sodium-coupled monocarboxylate transporter 1,GO:0016020; GO:0022857 (410),GO:0005840; GO:0016020; GO:0022857; GO:1990904 (31)
OG0000063,5.5559453103706,0.474161415176804,27,3,663,34,892,Kinesin-like protein,GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (142),GO:0003777; GO:0005524; GO:0007018; GO:0008017; GO:0015630 (126)
OG0000064,4.02802065350262,-0.0695433329768829,29,3,664,35,893,Fork-head domain-containing protein,GO:0003700; GO:0005634; GO:0043565 (275),GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154 (42)
OG0000065,-2.3090494539574,-6.37258431426961,26,453,665,36,894,None,None,NA
OG0000067,6.39189115502087,-3.94562360755879,30,454,666,37,895,Cadherin domain-containing protein,GO:0005509; GO:0005886; GO:0007156 (229),GO:0001736; GO:0004022; GO:0004714; GO:0005509; GO:0005886; GO:0007156; GO:0007163; GO:0016043; GO:0098609 (63)
OG0000068,1.15943542458264,11.1727242756657,8,298,667,38,896,Ionotropic glutamate receptor C-terminal domain-containing protein,GO:0015276; GO:0016020 (244),GO:0004970; GO:0005886 (109)
OG0000069,-7.82838377021106,6.12921002395671,4,455,668,5,897,Heat shock protein, putative,GO:0005524; GO:0140662 (95),GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016887; GO:0031072; GO:0032440; GO:0042026; GO:0044183; GO:0051085; GO:0140662 (94)
OG0000070,-1.96049770377429,1.65467169769328,18,91,669,39,898,glutathione transferase,GO:0004364 (395),GO:0004364; GO:0042802 (18)
OG0000071,-16.0774615671471,-7.50159070007283,1,456,670,40,899,Histone-lysine N-methyltransferase SETMAR,GO:0003676; GO:0008168; GO:0032259 (409),GO:0003676 (3)
OG0000073,-2.34182533286365,14.7444882679753,17,3,671,41,900,Dehydrogenase, putative,GO:0004745; GO:0008202; GO:0016020; GO:0016491; GO:0043231 (175),GO:0016491 (130)
OG0000074,-9.01671442054065,3.25966599472087,14,57,672,16,901,Myosin motor domain-containing protein,GO:0000146; GO:0005524; GO:0005737; GO:0005886; GO:0005902; GO:0007015; GO:0015629; GO:0016459; GO:0030050; GO:0031982; GO:0051015 (86),GO:0003774; GO:0003779; GO:0005524; GO:0005737; GO:0016459 (68)
OG0000075,-0.705327596886478,1.67392542846721,18,252,673,42,902,G-protein coupled receptors family 1 profile domain-containing protein,GO:0004715; GO:0004993; GO:0007187; GO:0007268; GO:0016020; GO:0030425; GO:0030594; GO:0045202 (98),GO:0004930; GO:0016020 (92)
OG0000077,-0.341103878243289,3.54477885253947,31,81,674,43,903,ABC transporter, putative,GO:0005524; GO:0005886; GO:0016887; GO:0042626; GO:0055085; GO:0140359 (165),GO:0005524; GO:0016020; GO:0016887; GO:0140359 (141)
OG0000078,0.884741220252194,1.00076344497722,32,107,80,44,904,Glutathione S-transferase 1: isoform D-like protein,GO:0016740 (359),GO:0004497; GO:0005506; GO:0005789; GO:0016705; GO:0020037 (38)
OG0000079,5.28654209114758,-5.6149270247646,33,457,675,45,905,Pogo transposable element with KRAB domain-like protein,None,NA
OG0000080,2.42724463679043,-3.92530831806142,16,3,318,46,906,Beta-ketoacyl-ACP reductase, putative,GO:0004316 (274),GO:0016491 (86)
OG0000081,-2.71491750739368,3.74185898788493,34,123,676,33,907,Polypeptide N-acetylgalactosaminyltransferase,GO:0000139; GO:0006486; GO:0016757; GO:0030246 (149),GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0030246 (131)
OG0000082,-4.61630567572864,12.9201550770573,32,458,677,47,908,Endonuclease/exonuclease/phosphatase domain-containing protein,GO:0003824 (389),NA
OG0000083,7.81510892845837,9.71321347244304,35,48,678,48,909,Guanylate cyclase,GO:0004383; GO:0004672; GO:0005524; GO:0005525; GO:0006468; GO:0016020; GO:0035556 (50),GO:0004383; GO:0004672; GO:0005524; GO:0006468; GO:0006935; GO:0007635; GO:0010038; GO:0016020; GO:0035556 (45)
OG0000084,5.11679068543164,-3.83663854114491,36,123,180,49,910,Caspase family p20 domain-containing protein,GO:0004197; GO:0006508; GO:0016020; GO:0022857 (159),GO:0008643; GO:0016020 (92)
OG0000085,-0.771352377159915,8.90675690658611,11,459,679,50,911,Secreted protein, putative (Secreted protein, putative (Fragment)),GO:0005886; GO:0007155; GO:0007411 (303),GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632 (77)
OG0000086,6.40430870987622,18.9380650807194,37,460,680,51,912,Neuronal acetylcholine receptor subunit alpha-7-like,GO:0004888; GO:0022848; GO:0045211 (202),GO:0004888; GO:0022848; GO:0043005; GO:0045202; GO:0045211 (96)
OG0000087,1.86587736345974,1.20306733139079,38,292,258,52,913,Solute carrier organic anion transporter family member,GO:0005886; GO:0006811; GO:0055085 (154),GO:0005886; GO:0006811; GO:0015347; GO:0043252 (99)
OG0000089,1.46319368817059,11.3162551213078,8,298,2,38,914,Sulfatase N-terminal domain-containing protein,GO:0016020 (371),NA
OG0000091,-8.3346351053551,-2.05928817502934,39,461,681,53,915,EGF-like domain-containing protein,GO:0006897; GO:0016020 (135),GO:0005509; GO:0006897; GO:0016020 (127)
OG0000092,-1.20192894004138,1.667908697205,18,91,682,54,916,Der-p2-like allergen,GO:0015918; GO:0032934 (290),GO:0005576; GO:0015918; GO:0032367; GO:0032934 (51)
OG0000093,-4.74478467963489,12.8478732395939,32,243,683,55,917,Pyruvate phosphate dikinase AMP/ATP-binding domain-containing protein,GO:0005524; GO:0016301; GO:0016310 (167),GO:0016310; GO:0016772 (142)
OG0000094,3.30788147784916,14.1324544239811,40,462,684,56,918,Tyrosine-protein kinase,GO:0002009; GO:0004715; GO:0005524; GO:0006468; GO:0009887; GO:0048468; GO:0065008 (93),GO:0002009; GO:0004715; GO:0005524; GO:0005576; GO:0005886; GO:0006468; GO:0006887; GO:0044218; GO:0044231; GO:0065008; GO:0090729 (55)
OG0000095,15.3631865117714,7.90039017684978,41,141,685,57,919,Cuticle protein 16.8-like,GO:0042302 (353),NA
OG0000096,7.35226455666272,-2.11667004339177,42,226,686,58,920,Transcription factor, putative,GO:0003700; GO:0005634; GO:0007423; GO:0045944; GO:0046983; GO:0048663; GO:0061564; GO:0070888 (250),GO:0046983 (75)
OG0000097,-0.965518560631595,0.0830266762546845,29,107,178,59,921,Fucosyltransferase,GO:0006486; GO:0008417; GO:0032580; GO:0036065 (135),GO:0006486; GO:0017060; GO:0032580; GO:0036065; GO:0046920 (102)
OG0000098,-5.28965028785022,-11.3688292216488,12,463,687,60,922,None,None,NA
OG0000099,2.628713119404,6.45503762252849,11,49,688,6,923,Innexin,GO:0005886; GO:0005921; GO:0006811 (179),GO:0005243; GO:0005886; GO:0005921; GO:0006811; GO:0007602 (116)
OG0000100,1.99031851031033,2.38086989410442,42,41,689,61,924,dolichyl-phosphate-mannose--protein mannosyltransferase,GO:0004169; GO:0005783; GO:0016020 (239),GO:0000030; GO:0004169; GO:0005789; GO:0035269 (28)
OG0000101,-3.11020931266101,-8.54155442230183,43,138,690,62,925,Epithelial chloride channel protein-like protein,GO:0016020 (190),GO:0005576; GO:0016298 (152)
OG0000102,-7.63264974616321,6.18549969680827,4,464,691,5,926,Cathepsin L,GO:0006508; GO:0008234 (321),GO:0004197; GO:0005615; GO:0006955; GO:0008656; GO:0010952; GO:0051603; GO:2001235 (18)
OG0000103,-6.01382097266468,4.98702385910075,20,198,692,63,927,Retinal dehydrogenase 1-like,GO:0016620 (225),GO:0006730; GO:0009058; GO:0009258; GO:0016155; GO:0016620; GO:0016742 (88)
OG0000104,-11.3226893808678,-3.93244418613393,44,116,693,64,928,RNA-directed DNA polymerase,GO:0003676; GO:0015074 (335),NA
OG0000105,-5.5031903650597,-11.1919369410701,12,465,694,65,929,CCHC-type domain-containing protein,GO:0003676; GO:0004190; GO:0006508; GO:0008270 (279),GO:0003676; GO:0008270 (55)
OG0000106,-11.1666654016808,-4.0318999003597,13,54,695,66,930,RNA helicase,GO:0004386; GO:0005524; GO:0016787 (72),GO:0003676; GO:0004386; GO:0005524; GO:0016787 (68)
OG0000107,3.20819637514798,-3.62919768802602,16,153,24,67,931,Fatty acyl-CoA reductase,GO:0005777; GO:0035336; GO:0080019; GO:0102965 (130),GO:0080019; GO:0102965; GO:1901568 (79)
OG0000108,0.0585407350227021,0.386947898941452,29,107,696,68,932,Cdc42 protein, putative,GO:0003006; GO:0003924; GO:0005525; GO:0007264; GO:0022412; GO:0035006; GO:0035099 (149),GO:0003006; GO:0003924; GO:0004767; GO:0005525; GO:0005886; GO:0007015; GO:0007165; GO:0007264; GO:0019901; GO:0022412; GO:0035006; GO:0035099 (68)
OG0000109,2.04044840075222,-11.9911904048153,45,77,697,69,933,None,None,NA
OG0000110,2.54380438067166,-0.437043638152664,44,79,698,70,934,Kelch-like protein diablo,GO:0003779; GO:0016567 (285),GO:0003779 (42)
OG0000111,-4.00267633460315,-3.19564595930058,13,319,197,71,935,Fibroleukin-like,None,NA
OG0000112,7.35161701180188,-1.74010107032735,38,292,699,72,936,HMG box domain-containing protein,GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0009653; GO:0030154; GO:0032440 (128),GO:0003677; GO:0005634 (114)
OG0000113,0.535529289023557,2.30585816391032,42,81,700,8,937,Lipase, putative,GO:0004806; GO:0005615; GO:0016042; GO:0016298 (133),GO:0005576; GO:0006629; GO:0016298; GO:0046872; GO:0052689 (50)
OG0000114,-2.59536632560047,14.6091885853581,46,10,701,73,938,MADF domain-containing protein,GO:0003677; GO:0005634; GO:0005667; GO:0006351; GO:0006357 (281),GO:0003677; GO:0005634; GO:0006351; GO:0006355 (40)
OG0000115,-5.70842870734485,10.2745986271672,23,466,702,74,939,C2H2-type domain-containing protein,GO:0000978; GO:0000981; GO:0006357 (320),NA
OG0000116,2.58145743943898,6.31068280227702,11,49,703,75,940,Fatty acid desaturase domain-containing protein,GO:0006633; GO:0016020; GO:0016717; GO:0046872 (136),GO:0004768; GO:0005506; GO:0005789; GO:0006636 (104)
OG0000117,1.08170250393597,1.27917483337444,42,129,182,63,941,Scavenger receptor class B type I, putative,GO:0016020 (294),GO:0005044; GO:0005737; GO:0016020 (14)
OG0000118,-1.49940332434925,2.11488440521281,18,252,704,76,942,ABC transporter domain-containing protein,GO:0005524; GO:0016887; GO:0043190; GO:0140359 (100),GO:0043190; GO:0140359 (75)
OG0000119,-6.93940481208118,-7.13880822174031,26,154,271,77,943,RNA helicase,GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0016787; GO:1990904 (165),GO:0003676; GO:0003724; GO:0005524; GO:0016787; GO:0043229 (59)
OG0000121,3.51706680990902,14.3829942036442,40,126,705,78,944,Large neutral amino acids transporter small subunit 2-like protein,GO:0016020; GO:0022857 (310),NA
OG0000122,1.40339985825268,-0.958784909171646,14,467,706,25,945,G-protein coupled receptors family 2 profile 2 domain-containing protein,GO:0004930; GO:0007166; GO:0016020 (300),GO:0004930; GO:0005886; GO:0005921; GO:0006811; GO:0007166 (6)
OG0000123,-2.52823432944568,-7.20123621932942,47,468,707,36,946,None,None,NA
OG0000124,-2.36069425605091,3.73575070388835,5,268,708,79,947,Flavin-containing monooxygenase,GO:0004497; GO:0004499; GO:0005789; GO:0006629; GO:0016174; GO:0047822; GO:0050660; GO:0050661 (124),GO:0004499; GO:0005789; GO:0006629; GO:0050660; GO:0050661 (50)
OG0000125,5.41442647911755,7.00233891494792,17,19,709,80,948,ATP-dependent DNA helicase,GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787 (252),GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016887 (56)
OG0000126,1.27622846104352,-0.578235597533768,17,142,410,81,949,Transmembrane protein 188,GO:0005737; GO:0006629; GO:0031965; GO:0035307; GO:0071595 (180),GO:0006631; GO:0016491; GO:0031956 (126)
OG0000127,5.15786448456494,3.57283976562541,48,82,88,82,950,Long chain fatty acid CoA ligase, putative,GO:0001676; GO:0005783; GO:0005811; GO:0005886; GO:0030182; GO:0035336; GO:0090433 (182),GO:0016020; GO:0016874 (112)
OG0000128,-10.2026475336388,-6.54633328430135,24,2,710,83,951,Translation initiation factor 2C-like,GO:0003743; GO:0061980 (259),GO:0008270; GO:0061980 (31)
OG0000129,-18.574365940316,-7.97175833694417,9,149,512,10,952,RNA-dependent RNA polymerase,GO:0003723; GO:0003968; GO:0030422; GO:0031380 (243),GO:0003723; GO:0003968; GO:0031047 (58)
OG0000130,-2.42330535910877,14.9016194630436,49,10,711,84,953,Aminopeptidase,GO:0004177; GO:0006508; GO:0008237; GO:0008270 (127),GO:0004177; GO:0006508; GO:0008237; GO:0008270; GO:0016020 (55)
OG0000131,-2.33652147315296,14.7003922749333,49,10,712,85,954,adenylate cyclase,GO:0009190; GO:0009975; GO:0016020; GO:0016849; GO:0035556 (75),GO:0004016; GO:0005524; GO:0009190; GO:0016020; GO:0035556; GO:0046872 (74)
OG0000132,-1.33415731452259,6.07373860366862,21,4,475,86,955,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (153),GO:0016020 (138)
OG0000133,-1.724608745797,9.97144940383952,3,27,188,87,956,Secreted protein,None,NA
OG0000134,-12.2838767435387,-0.487453670425003,10,47,102,88,957,BTB domain-containing protein,None,NA
OG0000135,2.58288269080369,6.5706506062321,11,49,713,50,958,Chitin-binding type-2 domain-containing protein,GO:0005975 (99),GO:0005576; GO:0005975; GO:0008061; GO:0016810 (81)
OG0000136,-6.15742143653186,5.18862154968303,20,469,714,89,959,AAA+ ATPase domain-containing protein,GO:0000502; GO:0005524; GO:0005737; GO:0016887; GO:0030163; GO:0036402 (148),GO:0000502; GO:0005524; GO:0005737; GO:0006508; GO:0008233; GO:0016887; GO:0030163; GO:0036402 (133)
OG0000137,6.28030267693249,18.9394746113591,37,282,715,51,960,Degenerin del-1-like,GO:0005272; GO:0016020 (262),GO:0016020 (28)
OG0000138,9.07819190956799,-3.73835989944417,49,470,716,90,961,Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Fragment)),GO:0015137; GO:0015141; GO:0015746; GO:0016020 (161),GO:0016020; GO:1901702 (125)
OG0000139,-5.4219439890221,-11.0892653178402,12,471,717,65,962,Low-density lipoprotein receptor, putative,GO:0004222; GO:0004252; GO:0016020 (256),GO:0016020; GO:0046872 (17)
OG0000140,5.4155553910896,6.54769757278484,17,33,718,91,963,G-protein coupled receptors family 3 profile domain-containing protein,GO:0004930; GO:0005886 (233),GO:0001640; GO:0007216; GO:0051966; GO:0098839; GO:0099530; GO:0099583 (44)
OG0000141,2.5298966798946,-2.14137473813969,32,224,180,92,964,Lachesin-like protein,GO:0016020 (282),NA
OG0000142,4.79668668247906,-2.45614221803624,50,121,113,93,965,Fatty-acid amide hydrolase 2-like protein,GO:0016787 (272),GO:0016740 (9)
OG0000143,-7.29265150092395,-7.01563164703328,26,250,719,94,966,None,None,NA
OG0000144,7.69751373268811,0.482883720474655,27,90,196,32,967,Beta-galactosidase,GO:0004565; GO:0005764; GO:0005975 (134),GO:0004565; GO:0005764; GO:0005773; GO:0005975 (68)
OG0000145,-1.52829393409046,2.03325846679729,18,91,720,76,968,Metalloendopeptidase,GO:0004222; GO:0006508; GO:0008270 (267),GO:0004222; GO:0006508 (5)
OG0000146,-3.91606220267566,8.09209111221355,51,164,158,95,969,Ig-like domain-containing protein,GO:0032589; GO:0050808 (242),GO:0016020 (30)
OG0000147,-2.73969682715686,-0.810315341872757,52,79,721,96,970,T-box domain-containing protein,GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0045893 (147),GO:0000978; GO:0000981; GO:0001708; GO:0005634; GO:0006357; GO:0045893 (77)
OG0000148,-12.5010541345909,-0.369076938552444,10,47,102,97,971,Transporter, putative,GO:0005886; GO:0016020; GO:0022857; GO:0032440; GO:0051119; GO:0055085 (105),GO:0005886; GO:0016020; GO:0022857; GO:0051119; GO:0055085 (93)
OG0000149,-9.0873959925011,3.48166087158244,14,57,263,28,972,5' nucleotidase, putative,GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872; GO:0106411 (212),GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872 (22)
OG0000150,5.54628888107983,6.80827668197673,17,3,722,61,973,P-type domain-containing protein,GO:0005975; GO:0016020; GO:0030246; GO:0090599 (249),GO:0004553; GO:0005975 (18)
OG0000151,-5.53725656531604,9.95002987869304,23,143,723,98,974,EamA domain-containing protein,GO:0016020 (272),GO:0005886; GO:0005921; GO:0006811 (1)
OG0000152,7.65062538124768,-2.39274099580724,38,53,170,99,975,Choline/carnitine acyltransferase domain-containing protein,GO:0006635; GO:0016746 (152),GO:0004102; GO:0005737; GO:0007274; GO:0008292; GO:0043005; GO:0045202 (44)
OG0000153,6.55077806450573,-6.80225941650349,53,115,724,69,976,None,None,NA
OG0000154,15.4510332677528,7.95048573501628,41,472,725,100,977,Paired box protein pax2.1, putative,GO:0003677; GO:0005634; GO:0006355 (138),GO:0000981; GO:0003677; GO:0005634; GO:0048856 (105)
OG0000155,-3.66235574744495,7.68744614608806,51,161,726,101,978,Peptidase inhibitor 15,GO:0005576 (271),NA
OG0000157,-3.03789028189929,-6.67819377891499,47,103,727,102,979,None,None,NA
OG0000158,-1.11248621009143,5.65718319900554,21,143,728,103,980,Latrophilin Cirl,GO:0004930; GO:0007166; GO:0016020; GO:0030246 (134),GO:0004930; GO:0007166; GO:0007189; GO:0016020 (84)
OG0000159,-12.0938380625084,-0.391207904738968,41,3,729,34,981,Cuticular protein, putative,GO:0005576; GO:0008061; GO:0016020 (217),GO:0005576; GO:0008061 (49)
OG0000160,-5.80035337470325,4.72626927383464,42,241,730,104,982,Cell death protein 3-like protein,GO:0004197; GO:0006508; GO:0019222; GO:0043067 (113),GO:0005737; GO:0006508; GO:0019222; GO:0042981; GO:0097194; GO:0097200 (65)
OG0000161,-2.88680013678821,-6.49749156944234,47,103,731,105,983,Putative nuclease HARBI1 (Harbinger transposase-derived nuclease),GO:0005634; GO:0005737; GO:0016787; GO:0046872 (256),GO:0046872 (7)
OG0000163,-12.2391436960533,-0.467348308486526,37,473,732,13,984,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (262),NA
OG0000164,-0.0369001295402862,0.410608320312912,54,47,191,106,985,Protein Wnt,GO:0005102; GO:0005576; GO:0016055; GO:0048699 (166),GO:0005109; GO:0005125; GO:0005615; GO:0030182; GO:0045165; GO:0060070 (69)
OG0000165,-6.96467527411731,-1.34599420539815,8,42,733,107,986,LIM zinc-binding domain-containing protein,GO:0046872 (118),GO:0000981; GO:0003677; GO:0005634; GO:0046872 (44)
OG0000166,3.89052811600415,0.621342449264938,18,46,734,108,987,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (217),GO:0005576; GO:0008061; GO:0016020 (32)
OG0000167,-2.50089820884021,-0.559519739074295,52,3,95,109,988,Motile sperm domain-containing protein 2-like protein,GO:0016020 (260),NA
OG0000168,-5.47259363196643,-11.2170471858211,12,474,735,65,989,None,None,NA
OG0000169,6.13060275055615,-0.185168952865189,55,35,12,110,990,Protein kinase, putative,GO:0000287; GO:0004674; GO:0004698; GO:0005524; GO:0005654; GO:0005737; GO:0018105 (132),GO:0004672; GO:0005524; GO:0006468 (77)
OG0000170,-4.41195568106922,12.3424649525456,32,90,116,87,991,Carboxylic ester hydrolase,GO:0003990; GO:0005615; GO:0005886; GO:0006581; GO:0019695 (223),GO:0003990; GO:0042135 (34)
OG0000171,-5.91000207923206,5.01335814483684,20,241,736,104,992,Peptidyl-prolyl cis-trans isomerase (PPIase),GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018; GO:0043231 (120),GO:0000413; GO:0003755; GO:0006457 (64)
OG0000172,1.49935773350445,-5.02690360061604,27,25,737,87,993,None,None,NA
OG0000173,-8.93097242377551,3.32851365097087,14,317,738,16,994,DDE Tnp4 domain-containing protein,None,NA
OG0000174,4.94847956635205,-7.40893313400227,56,92,739,111,995,None,None,NA
OG0000175,-12.0748523142174,0.132368354874069,10,13,740,112,996,Multidrug resistance protein, putative,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (80),GO:0005524; GO:0016020; GO:0016787; GO:0042626; GO:0055085; GO:0140359 (47)
OG0000176,4.02247992493359,9.37711575515788,15,475,741,17,997,C4b-binding protein beta chain, putative,GO:0030246 (76),GO:0005576; GO:0030414 (67)
OG0000177,-1.63236221335681,2.2143502522282,18,91,106,54,998,Pancreatic lipase-related protein 2-like protein,GO:0005576; GO:0016298 (248),GO:0005576; GO:0006629; GO:0016298 (2)
OG0000178,-2.87204393409046,-5.23336932174641,8,298,2,113,999,None,None,NA
