X1,X2,leiden_cluster_id,infomap_cluster_id,walktrap6_cluster_id,walktrap4_cluster_id,walktrap2_cluster_id,protein_name,best_gos,second_best_gos
OG0000108,-3.4837670524763,-1.31128075551183,2,9,90,22,113,Cdc42 protein, putative,GO:0003006; GO:0003924; GO:0005525; GO:0007264; GO:0022412; GO:0035006; GO:0035099 (149),GO:0003006; GO:0003924; GO:0004767; GO:0005525; GO:0005886; GO:0007015; GO:0007165; GO:0007264; GO:0019901; GO:0022412; GO:0035006; GO:0035099 (68)
OG0000109,5.74862382810842,-2.57275917958409,7,49,273,912,1197,None,None,NA
OG0000110,-3.96231653291453,1.70463499594539,2,50,274,37,1198,Kelch-like protein diablo,GO:0003779; GO:0016567 (285),GO:0003779 (42)
OG0000111,-3.58393456536997,4.39201137591212,2,51,90,40,1199,Fibroleukin-like,None,NA
OG0000112,-1.59785379964579,0.214621456154279,2,52,2,90,1200,HMG box domain-containing protein,GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0009653; GO:0030154; GO:0032440 (128),GO:0003677; GO:0005634 (114)
OG0000113,-1.4889339407133,3.42173907328456,2,41,258,31,1201,Lipase, putative,GO:0004806; GO:0005615; GO:0016042; GO:0016298 (133),GO:0005576; GO:0006629; GO:0016298; GO:0046872; GO:0052689 (50)
OG0000114,-1.97716881829966,-2.3233158869663,4,53,21,301,1202,MADF domain-containing protein,GO:0003677; GO:0005634; GO:0005667; GO:0006351; GO:0006357 (281),GO:0003677; GO:0005634; GO:0006351; GO:0006355 (40)
OG0000115,-0.603127201383005,-1.7113180441776,2,54,2,8,1203,C2H2-type domain-containing protein,GO:0000978; GO:0000981; GO:0006357 (320),NA
OG0000116,-4.11029054719676,-1.13363721799047,2,10,147,22,1204,Fatty acid desaturase domain-containing protein,GO:0006633; GO:0016020; GO:0016717; GO:0046872 (136),GO:0004768; GO:0005506; GO:0005789; GO:0006636 (104)
OG0000117,-3.28215744096507,-0.90118494462163,2,9,90,22,67,Scavenger receptor class B type I, putative,GO:0016020 (294),GO:0005044; GO:0005737; GO:0016020 (14)
OG0000118,-0.325108935420404,-0.732811598292895,17,55,341,177,1205,ABC transporter domain-containing protein,GO:0005524; GO:0016887; GO:0043190; GO:0140359 (100),GO:0043190; GO:0140359 (75)
OG0000119,-3.73415567476023,-1.23590376805455,2,9,90,22,1206,RNA helicase,GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0016787; GO:1990904 (165),GO:0003676; GO:0003724; GO:0005524; GO:0016787; GO:0043229 (59)
OG0000121,-2.53620268899668,0.853634567745618,2,56,41,72,1207,Large neutral amino acids transporter small subunit 2-like protein,GO:0016020; GO:0022857 (310),NA
OG0000122,-6.48253347474803,2.23014399576991,3,7,313,6,1208,G-protein coupled receptors family 2 profile 2 domain-containing protein,GO:0004930; GO:0007166; GO:0016020 (300),GO:0004930; GO:0005886; GO:0005921; GO:0006811; GO:0007166 (6)
OG0000123,1.12139795225393,3.39736649561732,10,57,559,913,1209,None,None,NA
OG0000124,-2.30416133004893,-1.66029599141271,2,9,90,171,1210,Flavin-containing monooxygenase,GO:0004497; GO:0004499; GO:0005789; GO:0006629; GO:0016174; GO:0047822; GO:0050660; GO:0050661 (124),GO:0004499; GO:0005789; GO:0006629; GO:0050660; GO:0050661 (50)
OG0000125,-3.10028459626902,2.24438688326686,18,58,359,914,1211,ATP-dependent DNA helicase,GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016787 (252),GO:0000723; GO:0003678; GO:0005524; GO:0006281; GO:0006310; GO:0016887 (56)
OG0000126,3.055841902907,-1.69475462865026,5,59,6,640,1212,Transmembrane protein 188,GO:0005737; GO:0006629; GO:0031965; GO:0035307; GO:0071595 (180),GO:0006631; GO:0016491; GO:0031956 (126)
OG0000127,-4.81323196489085,-2.24694683980138,2,40,461,52,1213,Long chain fatty acid CoA ligase, putative,GO:0001676; GO:0005783; GO:0005811; GO:0005886; GO:0030182; GO:0035336; GO:0090433 (182),GO:0016020; GO:0016874 (112)
OG0000128,-3.59162499505747,-1.4904084486881,2,9,90,22,1214,Translation initiation factor 2C-like,GO:0003743; GO:0061980 (259),GO:0008270; GO:0061980 (31)
OG0000129,-1.99884392816294,-2.76968791913182,4,53,21,338,1215,RNA-dependent RNA polymerase,GO:0003723; GO:0003968; GO:0030422; GO:0031380 (243),GO:0003723; GO:0003968; GO:0031047 (58)
OG0000130,-2.80550744134654,-1.48486235570104,2,9,90,171,1216,Aminopeptidase,GO:0004177; GO:0006508; GO:0008237; GO:0008270 (127),GO:0004177; GO:0006508; GO:0008237; GO:0008270; GO:0016020 (55)
OG0000131,-3.71411492425669,-0.812037853709765,2,9,90,22,1217,adenylate cyclase,GO:0009190; GO:0009975; GO:0016020; GO:0016849; GO:0035556 (75),GO:0004016; GO:0005524; GO:0009190; GO:0016020; GO:0035556; GO:0046872 (74)
OG0000132,1.3999181787325,0.384341927059583,2,42,175,14,1218,Major facilitator superfamily (MFS) profile domain-containing protein,GO:0016020; GO:0022857 (153),GO:0016020 (138)
OG0000133,0.302637765820135,-0.989830522052355,2,60,19,124,1219,Secreted protein,None,NA
OG0000134,1.22219810884725,-0.376480011455126,2,61,50,915,1220,BTB domain-containing protein,None,NA
OG0000135,-4.6584530075239,-5.66496422719152,19,62,351,848,1221,Chitin-binding type-2 domain-containing protein,GO:0005975 (99),GO:0005576; GO:0005975; GO:0008061; GO:0016810 (81)
OG0000136,-3.48129489022959,-1.38186409901769,2,9,90,22,964,AAA+ ATPase domain-containing protein,GO:0000502; GO:0005524; GO:0005737; GO:0016887; GO:0030163; GO:0036402 (148),GO:0000502; GO:0005524; GO:0005737; GO:0006508; GO:0008233; GO:0016887; GO:0030163; GO:0036402 (133)
OG0000137,-0.342507978265176,3.46359893847316,2,63,145,916,1222,Degenerin del-1-like,GO:0005272; GO:0016020 (262),GO:0016020 (28)
OG0000138,-3.42368700105418,0.9213152097544,2,11,2,38,1223,Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporter, putative (Fragment)),GO:0015137; GO:0015141; GO:0015746; GO:0016020 (161),GO:0016020; GO:1901702 (125)
OG0000139,3.29068849485647,-1.51421621274144,5,64,136,47,1224,Low-density lipoprotein receptor, putative,GO:0004222; GO:0004252; GO:0016020 (256),GO:0016020; GO:0046872 (17)
OG0000140,-2.01391651231516,-1.30862071942479,2,2,125,290,1225,G-protein coupled receptors family 3 profile domain-containing protein,GO:0004930; GO:0005886 (233),GO:0001640; GO:0007216; GO:0051966; GO:0098839; GO:0099530; GO:0099583 (44)
OG0000141,-2.8659851749586,-0.423122434131213,2,25,90,22,1226,Lachesin-like protein,GO:0016020 (282),NA
OG0000142,-3.38501050073374,-1.48792627286107,2,9,90,22,1227,Fatty-acid amide hydrolase 2-like protein,GO:0016787 (272),GO:0016740 (9)
OG0000143,6.71580503385793,-4.0477643294254,5,37,4,123,1228,None,None,NA
OG0000144,-4.02926923829783,4.33815047312587,2,61,59,376,1229,Beta-galactosidase,GO:0004565; GO:0005764; GO:0005975 (134),GO:0004565; GO:0005764; GO:0005773; GO:0005975 (68)
OG0000145,-5.12139894563426,-1.96974518727452,2,40,88,85,1230,Metalloendopeptidase,GO:0004222; GO:0006508; GO:0008270 (267),GO:0004222; GO:0006508 (5)
OG0000146,-2.03729440767039,-0.0662457032123285,2,25,2,917,1231,Ig-like domain-containing protein,GO:0032589; GO:0050808 (242),GO:0016020 (30)
OG0000147,-1.66515352327097,0.423203797825269,2,21,11,263,1232,T-box domain-containing protein,GO:0000978; GO:0003700; GO:0005634; GO:0006357; GO:0045893 (147),GO:0000978; GO:0000981; GO:0001708; GO:0005634; GO:0006357; GO:0045893 (77)
OG0000148,-2.93765141565074,0.826346503385,2,56,11,177,1233,Transporter, putative,GO:0005886; GO:0016020; GO:0022857; GO:0032440; GO:0051119; GO:0055085 (105),GO:0005886; GO:0016020; GO:0022857; GO:0051119; GO:0055085 (93)
OG0000149,-0.929093142335306,-0.0570560974994379,2,22,2,171,1234,5' nucleotidase, putative,GO:0000166; GO:0005886; GO:0006196; GO:0008253; GO:0046872; GO:0106411 (212),GO:0000166; GO:0008252; GO:0009166; GO:0016020; GO:0046872 (22)
OG0000150,-2.89247920114268,-2.10418322514684,2,58,2,171,1235,P-type domain-containing protein,GO:0005975; GO:0016020; GO:0030246; GO:0090599 (249),GO:0004553; GO:0005975 (18)
OG0000151,1.26903698843252,-0.429753331653185,10,65,50,353,1236,EamA domain-containing protein,GO:0016020 (272),GO:0005886; GO:0005921; GO:0006811 (1)
OG0000152,-3.73217346269358,1.77781871128886,2,50,274,37,1237,Choline/carnitine acyltransferase domain-containing protein,GO:0006635; GO:0016746 (152),GO:0004102; GO:0005737; GO:0007274; GO:0008292; GO:0043005; GO:0045202 (44)
OG0000153,2.50082776945363,-2.23518946599156,10,29,7,918,1238,None,None,NA
OG0000154,-1.78134693700541,-0.377913979999133,2,2,560,919,1239,Paired box protein pax2.1, putative,GO:0003677; GO:0005634; GO:0006355 (138),GO:0000981; GO:0003677; GO:0005634; GO:0048856 (105)
OG0000155,-1.7500513990568,0.681154252775602,2,21,11,8,1240,Peptidase inhibitor 15,GO:0005576 (271),NA
OG0000157,6.66566703718435,-2.09646895360143,5,49,10,920,1241,None,None,NA
OG0000158,-0.816630085294138,-0.421391396037646,2,66,446,277,1242,Latrophilin Cirl,GO:0004930; GO:0007166; GO:0016020; GO:0030246 (134),GO:0004930; GO:0007166; GO:0007189; GO:0016020 (84)
OG0000159,-1.31524016458262,3.54231497813075,2,67,90,16,1243,Cuticular protein, putative,GO:0005576; GO:0008061; GO:0016020 (217),GO:0005576; GO:0008061 (49)
OG0000160,5.22392318647634,-2.7832973284641,7,68,309,22,1244,Cell death protein 3-like protein,GO:0004197; GO:0006508; GO:0019222; GO:0043067 (113),GO:0005737; GO:0006508; GO:0019222; GO:0042981; GO:0097194; GO:0097200 (65)
OG0000161,3.17176387708913,0.0595463233074469,5,69,335,178,1245,Putative nuclease HARBI1 (Harbinger transposase-derived nuclease),GO:0005634; GO:0005737; GO:0016787; GO:0046872 (256),GO:0046872 (7)
OG0000163,0.863543907816519,-2.18692925404698,2,9,90,22,1246,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (262),NA
OG0000164,-2.17751791078318,0.661957891472272,2,21,11,326,1247,Protein Wnt,GO:0005102; GO:0005576; GO:0016055; GO:0048699 (166),GO:0005109; GO:0005125; GO:0005615; GO:0030182; GO:0045165; GO:0060070 (69)
OG0000165,-2.42404129106272,0.5569103674969,2,21,11,255,1248,LIM zinc-binding domain-containing protein,GO:0046872 (118),GO:0000981; GO:0003677; GO:0005634; GO:0046872 (44)
OG0000166,-1.72406806546916,-0.254682926646777,2,2,11,326,1249,Chitin-binding type-2 domain-containing protein,GO:0005576; GO:0008061 (217),GO:0005576; GO:0008061; GO:0016020 (32)
OG0000167,-4.13184310991038,-0.963062433711596,2,70,90,22,1250,Motile sperm domain-containing protein 2-like protein,GO:0016020 (260),NA
OG0000168,2.88712976377737,-0.787487534991808,5,71,187,288,1251,None,None,NA
OG0000169,1.1108802954508,1.42352402377932,5,72,158,289,1252,Protein kinase, putative,GO:0000287; GO:0004674; GO:0004698; GO:0005524; GO:0005654; GO:0005737; GO:0018105 (132),GO:0004672; GO:0005524; GO:0006468 (77)
OG0000170,1.50279245775472,1.40420261193126,13,43,208,292,1253,Carboxylic ester hydrolase,GO:0003990; GO:0005615; GO:0005886; GO:0006581; GO:0019695 (223),GO:0003990; GO:0042135 (34)
OG0000171,-3.63793303567637,-1.09318259190709,2,9,90,22,1254,Peptidyl-prolyl cis-trans isomerase (PPIase),GO:0000413; GO:0003755; GO:0005737; GO:0006457; GO:0016018; GO:0043231 (120),GO:0000413; GO:0003755; GO:0006457 (64)
OG0000172,4.09918210905324,0.140797408111982,5,73,394,288,1255,None,None,NA
OG0000173,3.78450940054189,-1.18931272458226,5,74,22,16,1256,DDE Tnp4 domain-containing protein,None,NA
OG0000174,7.44308565061819,-2.95972469281346,20,75,561,921,1257,None,None,NA
OG0000175,-1.08950748044718,5.14825961161464,21,76,244,550,1258,Multidrug resistance protein, putative,GO:0005524; GO:0016020; GO:0016887; GO:0140359 (80),GO:0005524; GO:0016020; GO:0016787; GO:0042626; GO:0055085; GO:0140359 (47)
